team_id,spec_id,target_share
1,1,19
1,2,23
1,3,10
1,4,28
1,5,10
1,7,10
2,1,10
2,2,23
2,3,10
2,4,28
2,5,19
2,7,10
3,1,23
3,2,10
3,3,10
3,4,19
3,5,28
3,7,10
4,1,23
4,2,10
4,3,10
4,4,28
4,5,19
4,7,10
5,1,19
5,2,23
5,3,10
5,4,28
5,5,10
5,7,10
6,1,10
6,2,28
6,3,23
6,4,19
6,5,10
6,7,10
7,1,28
7,2,19
7,3,10
7,4,23
7,5,10
7,7,10
8,1,10
8,2,19
8,3,23
8,4,28
8,5,10
8,7,10
9,1,10
9,2,23
9,3,10
9,4,19
9,5,28
9,7,10
10,1,19
10,2,23
10,3,10
10,4,28
10,5,10
10,7,10
11,1,19
11,2,23
11,3,28
11,4,10
11,5,10
11,7,10
12,1,23
12,2,28
12,3,19
12,4,10
12,5,10
12,7,10
13,1,23
13,2,28
13,3,10
13,4,10
13,5,19
13,7,10
14,1,19
14,2,28
14,3,23
14,4,10
14,5,10
14,7,10
15,1,10
15,2,28
15,3,19
15,4,23
15,5,10
15,7,10
16,1,10
16,2,23
16,3,28
16,4,19
16,5,10
16,7,10
17,1,28
17,2,19
17,3,10
17,4,23
17,5,10
17,7,10
18,1,23
18,2,28
18,3,19
18,4,10
18,5,10
18,7,10
19,1,23
19,2,19
19,3,10
19,4,28
19,5,10
19,7,10
20,1,10
20,2,23
20,3,10
20,4,28
20,5,19
20,7,10
21,1,28
21,2,19
21,3,10
21,4,23
21,5,10
21,7,10
22,1,10
22,2,28
22,3,23
22,4,19
22,5,10
22,7,10
23,1,10
23,2,19
23,3,23
23,4,28
23,5,10
23,7,10
24,1,23
24,2,10
24,3,10
24,4,28
24,5,19
24,7,10
25,1,23
25,2,19
25,3,28
25,4,10
25,5,10
25,7,10
