length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
46.11,0.000,Flat,5,5,start,Start,null,,,
1.77,3.200,Cobble_Hill,5,5,,,,,,
0.65,-6.500,Abfahrt,5,5,,,,,,
16.23,0.000,Flat,5,5,,,,,,
0.65,6.200,Cobble_Hill,5,5,,,,,,
3.69,0.600,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
1.38,-4.900,Abfahrt,5,5,,,,,,
1.93,0.800,Flat,5,5,,,,,,
0.50,-2.800,Flat,5,5,,,,,,
1.64,1.800,Flat,5,5,,,,,,
0.53,-1.700,Flat,5,5,,,,,,
0.52,8.300,Cobble_Hill,5,5,,,,,,
5.00,0.300,Flat,5,5,,,,,,
0.72,-2.500,Abfahrt,5,5,,,,,,
0.78,-6.300,Abfahrt,5,5,,,,,,
9.65,-0.100,Flat,5,5,,,,,,
0.44,3.900,Cobble_Hill,5,5,,,,,,
0.87,8.700,Cobble_Hill,5,5,,,,,,
0.75,0.700,Flat,5,5,,,,,,
0.88,-2.200,Flat,5,5,,,,,,
0.90,0.900,Flat,5,5,,,,,,
0.58,5.900,Cobble_Hill,5,5,,,,,,
9.48,-1.300,Flat,5,5,,,,,,
0.59,7.600,Cobble_Hill,5,5,,,,,,
0.71,3.100,Cobble_Hill,5,5,,,,,,
0.92,-1.200,Flat,5,5,,,,,,
0.86,-4.800,Abfahrt,5,5,,,,,,
3.28,0.300,Flat,5,5,,,,,,
0.52,8.300,Cobble_Hill,5,5,,,,,,
5.00,0.300,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.72,-2.500,Abfahrt,5,5,,,,,,
0.78,-6.300,Abfahrt,5,5,,,,,,
9.65,-0.100,Flat,5,5,,,,,,
0.44,3.900,Cobble_Hill,5,5,,,,,,
0.87,8.700,Cobble_Hill,5,5,,,,,,
0.75,0.700,Flat,5,5,,,,,,
0.88,-2.200,Flat,5,5,,,,,,
0.90,0.900,Flat,5,5,,,,,,
0.58,5.900,Cobble_Hill,5,5,,,,,,
7.36,-1.600,Flat,5,5,,,,,,
0.75,2.800,Cobble_Hill,5,5,,,,,,
3.14,-1.000,Flat,5,5,,,,,,
0.67,7.500,Cobble_Hill,5,5,,,,,,
1.77,0.000,Flat,5,5,,,,,,
1.13,-4.900,Abfahrt,5,5,,,,,,
13.90,0.300,Flat,5,5,,,,,,
0.52,-3.500,Abfahrt,5,5,,,,,,
0.59,2.500,Flat,5,5,,,,,,
0.37,-4.600,Abfahrt,5,5,,,,,,
10.89,-0.200,Flat,5,5,,,,,,
1.30,3.300,Cobble_Hill,5,5,,,,,,
8.95,-0.500,Flat,5,5,,,,finish_flat,Ziel,null
