length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
137.43,0.000,Flat,5,5,start,Start,null,,,
0.71,-3.400,Abfahrt,5,5,,,,,,
3.68,0.700,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.65,4.800,Cobble_Hill,5,5,,,,,,
0.63,8.100,Cobble_Hill,5,5,,,,,,
0.69,-0.900,Flat,5,5,,,,,,
0.46,-7.800,Abfahrt,5,5,,,,,,
3.72,-1.300,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.81,5.800,Cobble_Hill,5,5,,,,,,
0.60,2.500,Cobble_Hill,5,5,,,,,,
0.72,-0.400,Flat,5,5,,,,,,
0.65,8.300,Cobble_Hill,5,5,,,,,,
1.17,-6.500,Abfahrt,5,5,,,,,,
0.88,1.400,Flat,5,5,,,,,,
1.23,-3.300,Abfahrt,5,5,,,,,,
9.39,-0.300,Flat,5,5,,,,,,
0.83,3.500,Cobble_Hill,5,5,,,,,,
16.00,-0.100,Flat,5,5,,,,,,
0.81,5.800,Cobble_Hill,5,5,,,,,,
0.60,2.500,Cobble_Hill,5,5,,,,,,
0.72,-0.400,Flat,5,5,,,,,,
0.39,9.700,Cobble_Hill,5,5,,,,,,
1.43,-4.200,Abfahrt,5,5,,,,,,
0.88,1.400,Flat,5,5,,,,,,
0.93,-3.900,Abfahrt,5,5,,,,,,
12.43,0.100,Flat,5,5,,,,,,
0.89,7.600,Cobble_Hill,5,5,,,,,,
0.69,-0.900,Flat,5,5,,,,,,
0.46,-7.800,Abfahrt,5,5,,,,,,
3.32,-0.500,Flat,5,5,,,,,,
0.42,4.300,Cobble_Hill,5,5,,,,,,
0.36,16.100,Cobble_Hill,5,5,,,,,,
0.70,-7.700,Abfahrt,5,5,,,,,,
34.85,-0.200,Flat,5,5,,,,finish_flat,Ziel,null
