length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
25.72,0.200,Flat,5,5,start,Start,null,,,
0.77,-5.500,Abfahrt,5,5,,,,,,
0.40,1.500,Flat,5,5,,,,,,
0.60,7.400,Hill,5,5,,,,,,
0.82,4.400,Hill,5,5,,,,,,
9.00,0.700,Flat,5,5,,,,,,
2.19,-5.500,Abfahrt,5,5,,,,,,
1.20,7.600,Hill,5,5,,,,,,
1.19,2.000,Hill,5,5,,,,,,
0.43,-2.100,Hill,5,5,,,,,,
0.98,2.800,Hill,5,5,,,,,,
0.62,-3.600,Abfahrt,5,5,,,,,,
0.59,-7.900,Abfahrt,5,5,,,,,,
0.39,-13.300,Abfahrt,5,5,,,,,,
1.00,0.400,Hill,5,5,,,,,,
2.52,4.900,Hill,5,5,,,,,,
8.27,-0.800,Flat,5,5,,,,,,
2.21,2.700,Hill,5,5,,,,,,
1.60,-4.200,Abfahrt,5,5,,,,,,
9.56,0.700,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
2.03,3.800,Hill,5,5,,,,,,
3.60,0.500,Flat,5,5,,,,,,
2.00,-2.200,Abfahrt,5,5,,,,,,
3.02,1.000,Flat,5,5,,,,,,
0.39,5.000,Hill,5,5,,,,,,
0.43,9.400,Hill,5,5,,,,,,
5.03,-1.800,Flat,5,5,,,,,,
1.16,-4.500,Abfahrt,5,5,,,,,,
3.03,0.000,Flat,5,5,,,,,,
2.96,3.300,Hill,5,5,,,,,,
7.59,-0.200,Flat,5,5,,,,,,
0.39,4.700,Hill,5,5,,,,,,
0.42,9.600,Hill,5,5,,,,,,
0.39,2.600,Flat,5,5,,,,,,
5.37,-2.200,Abfahrt,5,5,,,,,,
0.45,-6.600,Abfahrt,5,5,,,,,,
10.06,-0.700,Flat,5,5,,,,,,
1.92,3.700,Hill,5,5,,,,,,
2.02,-3.000,Abfahrt,5,5,,,,sprint_intermediate,Sprint 2,Sprint
1.48,2.300,Flat,5,5,,,,,,
2.73,-2.700,Abfahrt,5,5,,,,,,
0.80,1.200,Flat,5,5,,,,,,
0.82,-1.800,Flat,5,5,,,,,,
0.79,5.200,Hill,5,5,,,,,,
2.58,-2.600,Abfahrt,5,5,,,,,,
1.55,1.300,Flat,5,5,,,,,,
2.26,4.200,Hill,5,5,,,,,,
3.79,1.000,Flat,5,5,,,,,,
5.72,-2.100,Abfahrt,5,5,,,,,,
0.70,1.400,Flat,5,5,,,,,,
0.82,-1.800,Flat,5,5,,,,,,
0.79,5.100,Hill,5,5,,,,,,
2.76,-2.400,Abfahrt,5,5,,,,,,
1.36,1.500,Flat,5,5,,,,,,
2.26,4.200,Hill,5,5,,,,,,
3.79,1.000,Flat,5,5,,,,,,
5.72,-2.100,Abfahrt,5,5,,,,,,
0.70,1.400,Flat,5,5,,,,,,
0.73,-2.100,Flat,5,5,,,,,,
1.01,4.000,Hill,5,5,,,,,,
0.63,-5.100,Abfahrt,5,5,,,,,,
1.82,-1.900,Flat,5,5,,,,,,
1.55,1.300,Flat,5,5,,,,,,
0.82,5.800,Hill,5,5,,,,,,
0.41,1.800,Flat,5,5,,,,,,
0.60,-5.100,Abfahrt,5,5,,,,,,
22.66,-0.400,Flat,5,5,,,,finish_flat,Ziel,null
