length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
12.59,0.000,Flat,5,5,start,Start,null,,,
0.43,4.400,Hill,5,5,,,,,,
26.64,0.300,Flat,5,5,,,,,,
0.51,-3.900,Abfahrt,5,5,,,,,,
0.71,3.500,Hill,5,5,,,,,,
0.37,-0.300,Flat,5,5,,,,,,
0.45,-6.000,Abfahrt,5,5,,,,,,
1.47,1.700,Flat,5,5,,,,,,
1.29,-3.300,Abfahrt,5,5,,,,,,
2.28,0.200,Flat,5,5,,,,,,
2.40,3.500,Hill,5,5,,,,,,
0.76,-0.900,Flat,5,5,,,,,,
0.42,-4.300,Abfahrt,5,5,,,,,,
0.85,4.400,Hill,5,5,,,,,,
2.75,0.600,Flat,5,5,,,,,,
0.69,-7.700,Abfahrt,5,5,,,,,,
0.47,-4.500,Abfahrt,5,5,,,,,,
0.55,0.900,Flat,5,5,,,,,,
0.67,3.900,Hill,5,5,,,,,,
8.64,-0.800,Flat,5,5,,,,,,
1.85,4.100,Hill,5,5,,,,,,
3.17,0.000,Flat,5,5,,,,,,
0.70,-2.900,Flat,5,5,,,,,,
0.71,1.300,Flat,5,5,,,,,,
0.36,-5.000,Abfahrt,5,5,,,,,,
0.80,0.100,Flat,5,5,,,,,,
0.51,-3.900,Abfahrt,5,5,,,,,,
2.11,0.100,Flat,5,5,,,,,,
0.68,-5.400,Abfahrt,5,5,,,,,,
0.35,6.600,Hill,5,5,,,,,,
4.11,0.500,Flat,5,5,,,,,,
0.40,-3.200,Abfahrt,5,5,,,,,,
1.26,3.700,Hill,5,5,,,,,,
0.60,-4.500,Abfahrt,5,5,,,,,,
0.85,3.800,Hill,5,5,,,,,,
0.39,-8.700,Abfahrt,5,5,,,,,,
1.70,0.800,Flat,5,5,,,,,,
0.38,6.100,Hill,5,5,,,,,,
1.38,0.700,Flat,5,5,,,,,,
0.48,-9.400,Abfahrt,5,5,,,,,,
1.07,-0.100,Flat,5,5,,,,,,
1.06,6.500,Hill,5,5,,,,,,
0.57,1.900,Hill,5,5,,,,,,
