length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.48,2.900,Flat,5,5,start,Start,null,,,
1.25,-2.500,Abfahrt,5,5,,,,,,
6.60,0.200,Flat,5,5,,,,,,
0.38,-3.300,Flat,5,5,,,,,,
1.76,-0.200,Flat,5,5,,,,,,
6.37,0.200,Flat,5,5,,,,,,
0.82,1.000,Flat,5,5,,,,,,
0.54,4.300,Hill,5,5,,,,,,
0.31,-5.600,Flat,5,5,,,,,,
2.33,-0.700,Flat,5,5,,,,,,
2.17,1.000,Flat,5,5,,,,,,
0.63,3.400,Flat,5,5,,,,,,
2.49,-1.000,Flat,5,5,,,,,,
0.70,1.300,Flat,5,5,,,,,,
1.73,-2.300,Abfahrt,5,5,,,,,,
0.84,5.000,Flat,5,5,,,,,,
0.40,-0.800,Flat,5,5,,,,,,
0.61,5.600,Hill,5,5,,,,,,
0.99,1.400,Flat,5,5,,,,,,
0.50,-2.200,Flat,5,5,,,,,,
1.46,0.900,Flat,5,5,,,,,,
1.33,-0.900,Flat,5,5,,,,,,
3.14,1.100,Flat,5,5,,,,,,
2.66,0.300,Flat,5,5,,,,,,
3.98,-0.400,Flat,5,5,,,,,,
5.75,0.500,Flat,5,5,,,,,,
2.91,-0.900,Flat,5,5,,,,,,
1.37,1.700,Flat,5,5,,,,,,
0.87,-2.200,Flat,5,5,,,,,,
1.49,-0.300,Flat,5,5,,,,,,
1.81,0.500,Flat,5,5,,,,,,
0.62,2.700,Flat,5,5,,,,,,
2.64,-0.400,Flat,5,5,,,,,,
2.00,0.900,Flat,5,5,,,,,,
0.46,-2.000,Flat,5,5,,,,,,
1.27,1.200,Flat,5,5,,,,,,
3.07,0.100,Flat,5,5,,,,,,
1.36,-0.200,Flat,5,5,,,,,,
1.76,-1.500,Flat,5,5,,,,,,
0.97,0.500,Flat,5,5,,,,,,
0.49,-4.500,Flat,5,5,,,,,,
0.84,2.900,Flat,5,5,,,,,,
2.26,0.000,Flat,5,5,,,,,,
0.91,1.900,Hill,5,5,,,,,,
1.49,4.300,Hill,5,5,,,,,,
1.19,2.700,Hill,5,5,,,,,,
2.63,-0.500,Flat,5,5,,,,,,
0.83,-7.600,Abfahrt,5,5,,,,,,
0.46,-3.300,Abfahrt,5,5,,,,,,
0.51,5.800,Flat,5,5,,,,,,
0.76,1.900,Flat,5,5,,,,,,
0.61,-1.700,Flat,5,5,,,,,,
0.58,-4.700,Flat,5,5,,,,,,
0.72,3.500,Flat,5,5,,,,,,
1.50,0.000,Flat,5,5,,,,,,
0.74,-3.400,Flat,5,5,,,,,,
0.66,-0.400,Flat,5,5,,,,,,
0.72,2.300,Hill,5,5,,,,,,
1.36,5.700,Hill,5,5,,,,,,
1.83,0.700,Flat,5,5,,,,,,
1.15,5.200,Hill,5,5,,,,,,
0.46,10.400,Hill,5,5,,,,,,
0.54,-0.800,Flat,5,5,,,,,,
0.54,6.200,Hill,5,5,,,,,,
0.32,-5.000,Flat,5,5,,,,,,
0.57,1.800,Flat,5,5,,,,,,
0.63,-2.000,Flat,5,5,,,,,,
0.48,4.900,Flat,5,5,,,,,,
0.38,0.400,Flat,5,5,,,,,,
0.26,-6.500,Flat,5,5,,,,,,
0.60,2.400,Flat,5,5,,,,,,
1.39,-2.400,Abfahrt,5,5,,,,,,
0.58,10.500,Hill,5,5,,,,,,
0.72,3.200,Hill,5,5,,,,,,
0.98,-4.500,Flat,5,5,,,,,,
1.11,-1.700,Flat,5,5,,,,,,
1.40,-4.900,Abfahrt,5,5,,,,,,
0.25,3.200,Flat,5,5,,,,,,
0.48,-5.600,Flat,5,5,,,,,,
0.32,-1.600,Flat,5,5,,,,,,
1.27,-5.700,Abfahrt,5,5,,,,,,
0.94,-2.700,Abfahrt,5,5,,,,,,
0.43,-8.100,Abfahrt,5,5,,,,,,
0.25,3.000,Flat,5,5,,,,,,
0.58,-4.500,Abfahrt,5,5,,,,,,
1.05,-7.400,Abfahrt,5,5,,,,,,
0.37,-5.000,Abfahrt,5,5,,,,,,
0.80,-4.300,Abfahrt,5,5,,,,,,
2.24,0.400,Flat,5,5,,,,,,
0.40,3.700,Flat,5,5,,,,,,
0.64,-2.500,Flat,5,5,,,,,,
0.37,1.900,Flat,5,5,,,,,,
0.26,0.300,Flat,5,5,,,,,,
0.51,-0.600,Flat,5,5,,,,,,
0.31,4.700,Flat,5,5,,,,,,
0.40,-4.900,Flat,5,5,,,,,,
0.22,13.600,Hill,5,5,,,,,,
0.35,-3.900,Abfahrt,5,5,,,,,,
0.26,4.800,Hill,5,5,,,,,,
0.21,11.000,Hill,5,5,,,,,,
0.30,-1.400,Flat,5,5,,,,,,
0.40,6.500,Hill,5,5,,,,,,
0.21,2.900,Hill,5,5,,,,,,
0.22,1.200,Flat,5,5,,,,,,
0.38,1.400,Flat,5,5,,,,,,
0.26,-9.100,Flat,5,5,,,,,,
0.38,1.100,Flat,5,5,,,,,,
0.37,0.200,Flat,5,5,,,,,,
0.29,-4.300,Flat,5,5,,,,,,
0.65,-7.200,Flat,5,5,,,,,,
0.46,3.000,Flat,5,5,,,,,,
0.28,-8.300,Flat,5,5,,,,,,
0.51,-0.200,Flat,5,5,,,,,,
0.96,-0.700,Flat,5,5,,,,,,
1.93,0.000,Flat,5,5,,,,,,
0.51,4.100,Flat,5,5,,,,,,
0.37,-1.900,Flat,5,5,,,,,,
0.21,-0.300,Flat,5,5,,,,,,
0.74,-1.400,Flat,5,5,,,,,,
1.09,-0.500,Flat,5,5,,,,,,
0.55,0.800,Flat,5,5,,,,,,
0.62,6.700,Flat,5,5,,,,,,
2.29,-0.300,Flat,5,5,,,,,,
0.57,3.400,Flat,5,5,,,,,,
0.43,-0.200,Flat,5,5,,,,,,
0.58,-5.000,Flat,5,5,,,,,,
1.54,-1.500,Flat,5,5,,,,,,
0.62,2.500,Flat,5,5,,,,,,
0.89,-0.300,Flat,5,5,,,,,,
1.65,2.400,Flat,5,5,,,,,,
0.91,-5.800,Flat,5,5,,,,,,
0.88,-0.500,Flat,5,5,,,,,,
0.62,1.500,Flat,5,5,,,,,,
2.09,4.200,Flat,5,5,,,,,,
0.24,-3.900,Flat,5,5,,,,,,
0.46,5.000,Flat,5,5,,,,,,
0.88,0.700,Flat,5,5,,,,,,
3.93,-0.300,Flat,5,5,,,,,,
1.86,-1.500,Flat,5,5,,,,,,
1.70,0.600,Flat,5,5,,,,,,
0.72,-6.100,Abfahrt,5,5,,,,,,
0.56,-2.600,Abfahrt,5,5,,,,,,
1.42,3.600,Flat,5,5,,,,,,
3.95,-1.200,Flat,5,5,,,,,,
1.42,0.000,Flat,5,5,,,,,,
3.95,1.000,Flat,5,5,,,,,,
0.56,3.200,Flat,5,5,,,,,,
1.60,-0.400,Flat,5,5,,,,,,
1.21,-2.000,Flat,5,5,,,,,,
0.55,1.900,Flat,5,5,,,,,,
1.99,-2.000,Flat,5,5,,,,,,
1.07,0.000,Flat,5,5,,,,,,
0.72,2.300,Flat,5,5,,,,,,
2.57,-0.100,Flat,5,5,,,,,,
0.92,-3.900,Flat,5,5,,,,,,
1.44,1.100,Flat,5,5,,,,,,
0.36,4.300,Flat,5,5,,,,,,
0.48,-2.800,Flat,5,5,,,,,,
1.12,1.400,Flat,5,5,,,,,,
1.07,-0.400,Flat,5,5,,,,,,
0.81,3.900,Flat,5,5,,,,,,
0.85,-6.700,Flat,5,5,,,,,,
0.53,-0.700,Flat,5,5,,,,,,
2.16,1.800,Hill,5,5,,,,,,
0.91,4.700,Hill,5,5,,,,,,
0.37,8.500,Hill,5,5,,,,,,
2.26,-4.900,Abfahrt,5,5,,,,,,
0.44,8.300,Flat,5,5,,,,,,
0.32,2.800,Flat,5,5,,,,,,
1.11,-0.200,Flat,5,5,,,,,,
1.04,-4.200,Abfahrt,5,5,,,,,,
0.39,2.500,Flat,5,5,,,,,,
0.52,8.900,Flat,5,5,,,,,,
1.06,0.400,Flat,5,5,,,,,,
1.90,-2.100,Abfahrt,5,5,,,,,,
2.80,-0.600,Flat,5,5,,,,,,
1.38,2.100,Flat,5,5,,,,,,
1.43,-0.200,Flat,5,5,,,,,,
0.81,3.900,Flat,5,5,,,,,,
0.85,-6.700,Flat,5,5,,,,,,
0.53,-0.700,Flat,5,5,,,,,,
2.16,1.800,Hill,5,5,,,,,,
0.91,4.700,Hill,5,5,,,,,,
0.37,8.500,Hill,5,5,,,,,,
2.26,-4.900,Abfahrt,5,5,,,,,,
0.44,8.300,Flat,5,5,,,,,,
0.32,2.800,Flat,5,5,,,,,,
1.11,-0.200,Flat,5,5,,,,,,
1.04,-4.200,Abfahrt,5,5,,,,,,
0.39,2.500,Flat,5,5,,,,,,
0.52,8.900,Flat,5,5,,,,,,
1.06,0.400,Flat,5,5,,,,,,
1.90,-2.100,Abfahrt,5,5,,,,,,
2.80,-0.600,Flat,5,5,,,,,,
1.38,2.100,Flat,5,5,,,,,,
1.56,-0.200,Flat,5,5,,,,,,
0.86,2.500,Flat,5,5,,,,,,
1.34,-3.600,Abfahrt,5,5,,,,,,
0.39,2.500,Flat,5,5,,,,,,
0.52,8.900,Flat,5,5,,,,,,
1.06,0.400,Flat,5,5,,,,,,
1.31,-2.400,Abfahrt,5,5,,,,,,
