length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
7.39,0.900,Flat,5,5,start,Start,null,,,
0.29,-6.100,Abfahrt,5,5,,,,,,
12.09,0.800,Flat,5,5,,,,,,
0.29,5.900,Hill,5,5,,,,,,
0.62,-2.200,Flat,5,5,,,,,,
1.89,2.700,Hill,5,5,,,,,,
0.93,-0.600,Flat,5,5,,,,,,
0.60,6.200,Hill,5,5,,,,,,
0.45,1.400,Flat,5,5,,,,,,
0.28,-5.000,Abfahrt,5,5,,,,,,
0.43,2.600,Flat,5,5,,,,,,
0.45,-3.600,Abfahrt,5,5,,,,,,
1.08,3.900,Hill,5,5,,,,,,
0.60,-1.200,Flat,5,5,,,,,,
1.40,4.300,Hill,5,5,,,,,,
0.35,-0.600,Flat,5,5,,,,,,
0.23,-8.000,Abfahrt,5,5,,,,,,
0.36,8.600,Hill,5,5,,,,,,
0.50,3.700,Hill,5,5,,,,,,
0.46,-1.100,Flat,5,5,,,,,,
0.49,4.300,Hill,5,5,,,,,,
0.48,0.000,Flat,5,5,,,,,,
0.39,-5.900,Abfahrt,5,5,,,,,,
0.49,5.600,Hill,5,5,,,,,,
1.25,1.700,Flat,5,5,,,,,,
0.85,5.000,Hill,5,5,,,,,,
0.59,1.800,Flat,5,5,,,,,,
0.60,-1.400,Flat,5,5,,,,,,
10.30,1.100,Flat,5,5,,,,,,
1.17,5.500,Hill,5,5,,,,,,
4.32,0.100,Flat,5,5,,,,,,
0.26,-4.200,Abfahrt,5,5,,,,,,
0.77,2.000,Flat,5,5,,,,,,
0.40,-2.400,Flat,5,5,,,,,,
0.70,4.800,Hill,5,5,,,,,,
2.29,-2.500,Abfahrt,5,5,,,,,,
1.71,1.700,Medium_Mountain,5,5,climb_start,Anstieg 1,null,,,
0.63,-1.100,Flat,5,5,,,,,,
1.02,5.800,Medium_Mountain,5,5,,,,,,
0.39,-1.900,Flat,5,5,,,,,,
0.29,12.600,Medium_Mountain,5,5,,,,,,
1.15,2.900,Medium_Mountain,5,5,,,,,,
0.20,10.600,Medium_Mountain,5,5,,,,,,
0.22,-2.700,Flat,5,5,,,,,,
0.53,7.700,Medium_Mountain,5,5,,,,,,
0.42,5.200,Medium_Mountain,5,5,,,,,,
0.46,1.500,Medium_Mountain,5,5,,,,,,
0.27,4.700,Medium_Mountain,5,5,,,,,,
0.27,7.700,Medium_Mountain,5,5,,,,,,
0.35,2.800,Medium_Mountain,5,5,,,,,,
0.24,12.500,Medium_Mountain,5,5,,,,,,
0.25,-1.200,Medium_Mountain,5,5,,,,,,
0.20,15.300,Medium_Mountain,5,5,,,,,,
0.46,5.100,Medium_Mountain,5,5,,,,,,
0.25,1.300,Medium_Mountain,5,5,,,,,,
1.28,4.800,Medium_Mountain,5,5,,,,,,
0.70,-1.200,Medium_Mountain,5,5,,,,,,
1.47,5.600,Medium_Mountain,5,5,,,,climb_top,Anstieg 1,2
0.25,-7.600,Abfahrt,5,5,,,,,,
0.28,3.500,Flat,5,5,,,,,,
0.23,-14.500,Abfahrt,5,5,,,,,,
0.27,4.900,Flat,5,5,,,,,,
0.29,-5.100,Abfahrt,5,5,,,,,,
0.94,0.400,Flat,5,5,,,,,,
0.27,4.500,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.21,-3.300,Abfahrt,5,5,,,,,,
0.22,-16.600,Abfahrt,5,5,,,,,,
1.00,-3.800,Abfahrt,5,5,,,,,,
0.49,-0.900,Flat,5,5,,,,,,
0.22,-3.800,Abfahrt,5,5,,,,,,
0.26,-14.700,Abfahrt,5,5,,,,,,
0.23,5.300,Flat,5,5,,,,,,
0.23,-17.300,Abfahrt,5,5,,,,,,
1.92,-4.800,Abfahrt,5,5,,,,,,
0.37,1.500,Flat,5,5,,,,,,
0.22,-14.800,Abfahrt,5,5,,,,,,
0.45,-5.100,Abfahrt,5,5,,,,,,
0.36,-8.000,Abfahrt,5,5,,,,,,
0.20,8.900,Hill,5,5,,,,,,
0.30,-11.900,Abfahrt,5,5,,,,,,
0.27,3.700,Flat,5,5,,,,,,
0.29,-13.100,Abfahrt,5,5,,,,,,
0.31,2.200,Flat,5,5,,,,,,
0.22,-6.600,Abfahrt,5,5,,,,,,
0.22,5.100,Flat,5,5,,,,,,
0.61,-8.500,Abfahrt,5,5,,,,,,
0.45,-4.500,Abfahrt,5,5,,,,,,
0.44,-1.700,Flat,5,5,,,,,,
