length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.20,0.60,Flat,5,7,start,Dummy Cobble A Start,null,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,sprint_intermediate,Cobble A Sprint 1,Sprint
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,sprint_intermediate,Cobble A Sprint 2,Sprint
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,finish_flat,Dummy Cobble A Finish,null
