length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.20,0.60,Flat,5,7,start,Dummy Cobble C Start,null,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,sprint_intermediate,Cobble C Sprint 1,Sprint
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
2.80,0.80,Flat,5,7,,,,,,
1.90,2.30,Cobble,7,6,,,,,,
3.20,0.60,Flat,5,7,,,,,,
2.10,1.40,Cobble,7,6,,,,,,
2.60,-0.70,Flat,5,7,,,,,,
2.00,1.90,Cobble,7,6,,,,,,
3.20,4.50,Hill,5,5,climb_start,Dummy Cobble C Finish,null,,,
3.20,5.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,,,
3.20,4.70,Hill,5,5,,,,finish_hill,Dummy Cobble C Finish,4
