length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
2.80,1.20,Flat,5,6,start,Dummy Cobble Hill A Start,null,,,
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
1.80,4.00,Cobble_Hill,7,5,,,,,,
2.20,-1.30,Flat,5,6,,,,,,
2.80,1.20,Flat,5,6,,,,,,
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
1.80,4.00,Cobble_Hill,7,5,,,,,,
2.20,-1.30,Flat,5,6,,,,,,
2.80,1.20,Flat,5,6,,,,sprint_intermediate,Cobble Hill A Sprint 1,Sprint
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
1.80,4.00,Cobble_Hill,7,5,,,,,,
2.20,-1.30,Flat,5,6,,,,,,
2.80,1.20,Flat,5,6,,,,,,
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
1.80,4.00,Cobble_Hill,7,5,,,,,,
2.20,-1.30,Flat,5,6,,,,,,
2.80,1.20,Flat,5,6,,,,,,
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
1.80,4.00,Cobble_Hill,7,5,,,,,,
2.20,-1.30,Flat,5,6,,,,,,
2.80,1.20,Flat,5,6,,,,,,
1.90,3.20,Cobble_Hill,7,5,,,,,,
2.00,-2.10,Abfahrt,6,5,,,,,,
2.50,2.50,Hill,5,5,,,,,,
3.20,4.50,Hill,5,5,climb_start,Dummy Cobble Hill A Finish,null,,,
3.20,5.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,,,
3.20,4.70,Hill,5,5,,,,finish_hill,Dummy Cobble Hill A Finish,4
