length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.80,0.30,Flat,4,7,start,Dummy Flat A Start,null,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,,,
2.60,-1.50,Abfahrt,5,6,,,,,,
3.40,0.40,Flat,4,7,,,,,,
3.80,0.30,Flat,4,7,,,,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,,,
2.60,-1.50,Abfahrt,5,6,,,,sprint_intermediate,Flat A Sprint 1,Sprint
3.40,0.40,Flat,4,7,,,,,,
3.80,0.30,Flat,4,7,,,,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,,,
2.60,-1.50,Abfahrt,5,6,,,,,,
3.40,0.40,Flat,4,7,,,,,,
3.80,0.30,Flat,4,7,,,,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,,,
2.60,-1.50,Abfahrt,5,6,,,,,,
3.40,0.40,Flat,4,7,,,,sprint_intermediate,Flat A Sprint 2,Sprint
3.80,0.30,Flat,4,7,,,,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,,,
2.60,-1.50,Abfahrt,5,6,,,,,,
3.40,0.40,Flat,4,7,,,,,,
3.80,0.30,Flat,4,7,,,,,,
3.10,-0.20,Flat,4,7,,,,,,
3.50,0.70,Flat,4,6,,,,,,
2.80,1.10,Hill,5,6,,,,finish_flat,Dummy Flat A Finish,null
