length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy High Mountain A Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.80,6.90,High_Mountain,7,4,climb_start,High Mountain A Pass,null,,,
2.80,7.20,High_Mountain,7,4,,,,,,
2.80,7.50,High_Mountain,7,4,,,,,,
2.80,7.30,High_Mountain,7,4,,,,,,
2.80,7.00,High_Mountain,7,4,,,,,,
2.80,6.60,High_Mountain,7,4,,,,,,
2.80,6.10,High_Mountain,7,4,,,,climb_top,High Mountain A Pass,HC
3.10,-6.40,Abfahrt,6,5,,,,,,
3.10,-5.80,Abfahrt,6,5,,,,,,
3.10,-4.90,Abfahrt,6,5,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,6.50,Mountain,6,5,climb_start,High Mountain A Climb 2,null,,,
3.00,6.80,Mountain,6,5,,,,,,
3.00,6.60,Mountain,6,5,,,,,,
3.00,6.00,Mountain,6,5,,,,,,
3.00,5.40,Mountain,6,5,,,,climb_top,High Mountain A Climb 2,1
2.70,-5.90,Abfahrt,6,5,,,,,,
2.70,-5.00,Abfahrt,6,5,,,,,,
2.70,-4.10,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,finish_flat,Dummy High Mountain A Finish,null
