length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy High Mountain D Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
2.80,6.70,High_Mountain,7,4,climb_start,High Mountain D Climb 1,null,,,
2.80,7.00,High_Mountain,7,4,,,,,,
2.80,7.20,High_Mountain,7,4,,,,,,
2.80,7.00,High_Mountain,7,4,,,,,,
2.80,6.50,High_Mountain,7,4,,,,,,
2.80,6.00,High_Mountain,7,4,,,,climb_top,High Mountain D Climb 1,1
3.10,-6.40,Abfahrt,6,5,,,,,,
3.10,-5.80,Abfahrt,6,5,,,,,,
3.10,-4.90,Abfahrt,6,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
2.80,7.00,High_Mountain,7,4,climb_start,High Mountain D Climb 2,null,,,
2.80,7.40,High_Mountain,7,4,,,,,,
2.80,7.70,High_Mountain,7,4,,,,,,
2.80,7.50,High_Mountain,7,4,,,,,,
2.80,7.10,High_Mountain,7,4,,,,,,
2.80,6.80,High_Mountain,7,4,,,,,,
2.80,6.20,High_Mountain,7,4,,,,climb_top,High Mountain D Climb 2,HC
3.10,-6.40,Abfahrt,6,5,,,,,,
3.10,-5.80,Abfahrt,6,5,,,,,,
3.10,-4.90,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
2.80,6.80,High_Mountain,7,4,climb_start,High Mountain D Climb 3,null,,,
2.80,7.10,High_Mountain,7,4,,,,,,
2.80,7.30,High_Mountain,7,4,,,,,,
2.80,7.00,High_Mountain,7,4,,,,,,
2.80,6.40,High_Mountain,7,4,,,,,,
2.80,5.90,High_Mountain,7,4,,,,climb_top,High Mountain D Climb 3,1
3.10,-6.40,Abfahrt,6,5,,,,,,
3.10,-5.80,Abfahrt,6,5,,,,,,
3.10,-4.90,Abfahrt,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,finish_flat,Dummy High Mountain D Finish,null
