length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.10,1.80,Hill,5,5,start,Dummy Hilly Difficult A Start,null,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
3.20,5.80,Hill,5,5,climb_start,HD A Climb 1,null,,,
3.20,6.10,Hill,5,5,,,,,,
3.20,5.70,Hill,5,5,,,,,,
3.20,4.90,Hill,5,5,,,,climb_top,HD A Climb 1,3
2.70,-4.00,Abfahrt,6,5,,,,,,
2.70,-2.80,Abfahrt,6,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
3.20,6.40,Hill,5,5,climb_start,HD A Climb 2,null,,,
3.20,6.80,Hill,5,5,,,,,,
3.20,6.10,Hill,5,5,,,,,,
3.20,5.50,Hill,5,5,,,,,,
3.20,4.90,Hill,5,5,,,,sprint_intermediate|climb_top,HD A Sprint 1|HD A Climb 2,Sprint|2
2.70,-4.00,Abfahrt,6,5,,,,,,
2.70,-2.80,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
3.20,4.50,Hill,5,5,climb_start,Dummy Hilly Difficult A Finish,null,,,
3.20,5.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,,,
3.20,4.70,Hill,5,5,,,,finish_hill,Dummy Hilly Difficult A Finish,3
