length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.10,1.80,Hill,5,5,start,Dummy Hilly Difficult C Start,null,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,sprint_intermediate,HD C Sprint 1,Sprint
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
2.20,-3.20,Abfahrt,6,5,,,,,,
3.00,1.10,Flat,4,6,,,,,,
2.80,4.00,Hill,5,5,,,,,,
2.30,-2.50,Abfahrt,6,5,,,,,,
3.10,1.80,Hill,5,5,,,,,,
2.70,3.60,Hill,5,5,,,,,,
3.20,5.90,Hill,5,5,climb_start,HD C Summit Finish,null,,,
3.20,6.30,Hill,5,5,,,,,,
3.20,6.60,Hill,5,5,,,,,,
3.20,6.40,Hill,5,5,,,,,,
3.20,6.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,finish_hill,Dummy Hilly Difficult C Finish,2
3.20,4.50,Hill,5,5,climb_start,Dummy Hilly Difficult C Finish,null,,,
3.20,5.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,,,
3.20,4.70,Hill,5,5,,,,finish_hill,Dummy Hilly Difficult C Finish,2
