length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.09,0.20,Flat,8,3,start,Dummy ITT A Start,null,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.07,-0.30,Flat,8,3,,,,,,
0.08,0.60,Flat,8,3,,,,,,
0.07,0.10,Flat,9,3,,,,,,
0.09,0.20,Flat,8,3,,,,,,
0.02,-0.30,Flat,8,3,,,,finish_TT,Dummy ITT A Finish,null
