length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.18,0.40,Flat,8,4,start,Dummy ITT B Start,null,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.15,1.20,Flat,8,4,,,,,,
0.13,-0.70,Flat,8,3,,,,,,
0.17,0.60,Flat,9,3,,,,,,
0.18,0.40,Flat,8,4,,,,,,
0.21,1.20,Flat,8,4,,,,finish_TT,Dummy ITT B Finish,null
