length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.27,0.50,Flat,8,4,start,Dummy ITT C Start,null,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.20,-0.40,Flat,8,4,,,,,,
0.22,1.00,Flat,8,4,,,,,,
0.22,0.20,Flat,9,3,,,,,,
0.27,0.50,Flat,8,4,,,,,,
0.18,-0.40,Flat,8,4,,,,finish_TT,Dummy ITT C Finish,null
