length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.39,0.20,Flat,6,7,start,Dummy ITT D Start,null,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.32,0.80,Flat,6,7,,,,,,
0.27,-0.40,Flat,7,6,,,,,,
0.35,0.50,Flat,7,7,,,,,,
0.39,0.20,Flat,6,7,,,,,,
0.30,0.80,Flat,6,7,,,,finish_TT,Dummy ITT D Finish,null
