length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.46,0.30,Flat,7,5,start,Dummy ITT E Start,null,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.38,1.00,Flat,7,5,,,,,,
0.34,-0.50,Flat,8,4,,,,,,
0.42,0.70,Flat,8,4,,,,,,
0.46,0.30,Flat,7,5,,,,,,
0.34,1.00,Flat,7,5,,,,finish_TT,Dummy ITT E Finish,null
