length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.59,0.60,Flat,7,5,start,Dummy ITT F Start,null,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.49,1.80,Hill,7,5,,,,,,
0.43,-1.10,Flat,7,4,,,,,,
0.56,1.20,Flat,7,5,,,,,,
0.59,0.60,Flat,7,5,,,,,,
0.42,1.80,Hill,7,5,,,,finish_TT,Dummy ITT F Finish,null
