length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.59,0.50,Flat,6,5,start,Dummy ITT G Start,null,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.50,2.40,Hill,7,4,,,,,,
0.44,-1.40,Flat,7,4,,,,,,
0.56,4.10,Hill,7,4,,,,,,
0.59,4.80,Hill,7,4,,,,,,
0.50,5.20,Hill,7,4,,,,,,
0.44,4.50,Hill,8,3,,,,,,
0.56,1.60,Hill,7,4,,,,,,
0.59,0.50,Flat,6,5,,,,,,
0.48,2.40,Hill,7,4,,,,finish_TT,Dummy ITT G Finish,null
