length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.71,0.70,Flat,6,5,start,Dummy ITT H Start,null,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.60,2.00,Hill,7,4,,,,,,
0.51,-1.30,Flat,7,4,,,,,,
0.67,1.00,Flat,7,5,,,,,,
0.71,0.70,Flat,6,5,,,,,,
0.61,2.00,Hill,7,4,,,,finish_TT,Dummy ITT H Finish,null
