length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.86,0.40,Flat,6,6,start,Dummy ITT I Start,null,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.79,1.60,Hill,7,5,,,,,,
0.86,0.40,Flat,6,6,,,,,,
0.76,1.40,Flat,6,6,,,,,,
0.66,-0.80,Flat,7,5,,,,,,
0.83,1.60,Hill,7,5,,,,finish_TT,Dummy ITT I Finish,null
