length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.88,0.20,Flat,5,6,start,Dummy ITT J Start,null,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.83,0.70,Flat,6,6,,,,,,
0.88,0.20,Flat,5,6,,,,,,
0.79,0.90,Flat,5,6,,,,,,
0.67,-0.50,Flat,6,5,,,,,,
0.77,0.70,Flat,6,6,,,,finish_TT,Dummy ITT J Finish,null
