length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.02,0.30,Flat,5,6,start,Dummy ITT K Start,null,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,,,
0.77,-0.70,Flat,6,5,,,,,,
0.97,1.60,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.90,1.20,Flat,5,6,,,,finish_TT,Dummy ITT K Finish,null
