length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.27,0.50,Flat,5,6,start,Dummy ITT L Start,null,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,0.50,Flat,5,6,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.17,2.10,Hill,6,5,,,,,,
1.27,3.80,Hill,6,4,,,,,,
1.11,4.50,Hill,7,4,,,,,,
0.96,5.00,Hill,7,4,,,,,,
1.17,5.40,Hill,7,3,,,,,,
1.27,4.80,Hill,7,3,,,,,,
1.11,1.80,Flat,6,5,,,,,,
0.96,-0.90,Flat,6,5,,,,,,
1.18,2.10,Hill,6,5,,,,finish_TT,Dummy ITT L Finish,null
