length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy Medium Mountain B Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,sprint_intermediate,MMB Sprint 1,Sprint
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.10,5.60,Medium_Mountain,6,5,climb_start,MMB Climb 1,null,,,
3.10,5.90,Medium_Mountain,6,5,,,,,,
3.10,5.40,Medium_Mountain,6,5,,,,,,
3.10,4.90,Medium_Mountain,6,5,,,,climb_top,MMB Climb 1,3
2.70,-4.80,Abfahrt,6,5,,,,,,
2.70,-3.70,Abfahrt,6,5,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
3.10,6.10,Medium_Mountain,6,5,climb_start,MMB Finish Climb,null,,,
3.10,6.50,Medium_Mountain,6,5,,,,,,
3.10,6.20,Medium_Mountain,6,5,,,,,,
3.10,5.70,Medium_Mountain,6,5,,,,,,
3.10,5.10,Medium_Mountain,6,5,,,,finish_hill,Dummy Medium Mountain B Finish,2
3.20,4.50,Hill,5,5,climb_start,Dummy Medium Mountain B Finish,null,,,
3.20,5.10,Hill,5,5,,,,,,
3.20,5.40,Hill,5,5,,,,,,
3.20,4.70,Hill,5,5,,,,finish_hill,Dummy Medium Mountain B Finish,2
