length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy Medium Mountain C Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,5.20,Medium_Mountain,6,5,climb_start,MMC Climb 1,null,,,
3.10,5.50,Medium_Mountain,6,5,,,,,,
3.10,5.00,Medium_Mountain,6,5,,,,climb_top,MMC Climb 1,4
2.70,-4.80,Abfahrt,6,5,,,,,,
2.70,-3.70,Abfahrt,6,5,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
3.10,5.90,Medium_Mountain,6,5,climb_start,MMC Climb 2,null,,,
3.10,6.20,Medium_Mountain,6,5,,,,,,
3.10,5.80,Medium_Mountain,6,5,,,,,,
3.10,5.10,Medium_Mountain,6,5,,,,climb_top,MMC Climb 2,3
2.70,-4.80,Abfahrt,6,5,,,,,,
2.70,-3.70,Abfahrt,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
3.10,6.30,Medium_Mountain,6,5,climb_start,MMC Climb 3,null,,,
3.10,6.70,Medium_Mountain,6,5,,,,,,
3.10,6.20,Medium_Mountain,6,5,,,,,,
3.10,5.70,Medium_Mountain,6,5,,,,,,
3.10,5.00,Medium_Mountain,6,5,,,,climb_top,MMC Climb 3,2
2.70,-4.80,Abfahrt,6,5,,,,,,
2.70,-3.70,Abfahrt,6,5,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,finish_flat,Dummy Medium Mountain C Finish,null
