length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy Mountain D Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,6.00,Mountain,6,5,climb_start,Mountain D Climb 1,null,,,
3.00,6.40,Mountain,6,5,,,,,,
3.00,6.10,Mountain,6,5,,,,,,
3.00,5.40,Mountain,6,5,,,,climb_top,Mountain D Climb 1,2
2.70,-5.90,Abfahrt,6,5,,,,,,
2.70,-5.00,Abfahrt,6,5,,,,,,
2.70,-4.10,Abfahrt,6,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,6.30,Mountain,6,5,climb_start,Mountain D Climb 2,null,,,
3.00,6.70,Mountain,6,5,,,,,,
3.00,6.30,Mountain,6,5,,,,,,
3.00,5.70,Mountain,6,5,,,,climb_top,Mountain D Climb 2,2
2.70,-5.90,Abfahrt,6,5,,,,,,
2.70,-5.00,Abfahrt,6,5,,,,,,
2.70,-4.10,Abfahrt,6,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
3.00,6.80,Mountain,6,5,climb_start,Mountain D Climb 3,null,,,
3.00,7.10,Mountain,6,5,,,,,,
3.00,7.00,Mountain,6,5,,,,,,
3.00,6.40,Mountain,6,5,,,,,,
3.00,5.80,Mountain,6,5,,,,climb_top,Mountain D Climb 3,1
2.70,-5.90,Abfahrt,6,5,,,,,,
2.70,-5.00,Abfahrt,6,5,,,,,,
2.70,-4.10,Abfahrt,6,5,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.10,5.80,Medium_Mountain,6,5,climb_start,Mountain D Climb 4,null,,,
3.10,6.10,Medium_Mountain,6,5,,,,,,
3.10,5.70,Medium_Mountain,6,5,,,,,,
3.10,5.00,Medium_Mountain,6,5,,,,climb_top,Mountain D Climb 4,2
2.70,-4.80,Abfahrt,6,5,,,,,,
2.70,-3.70,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,finish_flat,Dummy Mountain D Finish,null
