length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.30,1.20,Flat,4,6,start,Dummy Mountain E Start,null,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,5.90,Mountain,6,5,climb_start,Mountain E Long Pass,null,,,
3.00,6.20,Mountain,6,5,,,,,,
3.00,6.50,Mountain,6,5,,,,,,
3.00,6.70,Mountain,6,5,,,,,,
3.00,6.60,Mountain,6,5,,,,,,
3.00,6.20,Mountain,6,5,,,,,,
3.00,5.80,Mountain,6,5,,,,climb_top,Mountain E Long Pass,1
2.70,-5.90,Abfahrt,6,5,,,,,,
2.70,-5.00,Abfahrt,6,5,,,,,,
2.70,-4.10,Abfahrt,6,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,5.20,Medium_Mountain,6,5,,,,,,
2.60,-4.80,Abfahrt,6,5,,,,,,
3.00,2.00,Hill,5,5,,,,,,
2.80,-2.00,Flat,4,6,,,,,,
3.30,1.20,Flat,4,6,,,,,,
3.10,3.80,Hill,5,5,,,,,,
3.00,6.70,Mountain,6,5,climb_start,Mountain E Finale,null,,,
3.00,7.00,Mountain,6,5,,,,,,
3.00,7.30,Mountain,6,5,,,,,,
3.00,6.80,Mountain,6,5,,,,,,
3.00,5.90,Mountain,6,5,climb_start,Dummy Mountain E Finish,null,finish_mountain,Dummy Mountain E Finish,1
3.00,6.40,Mountain,6,5,,,,,,
3.00,6.80,Mountain,6,5,,,,,,
3.00,6.10,Mountain,6,5,,,,finish_mountain,Dummy Mountain E Finish,1
