length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.20,1.00,Flat,4,6,start,Dummy Rolling B Start,null,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,,,
3.00,0.80,Flat,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,1.00,Flat,4,6,,,,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,,,
3.00,0.80,Flat,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,1.00,Flat,4,6,,,,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,sprint_intermediate,Rolling B Sprint 1,Sprint
3.00,0.80,Flat,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,1.00,Flat,4,6,,,,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,,,
3.00,0.80,Flat,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,1.00,Flat,4,6,,,,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,,,
3.00,0.80,Flat,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,3.70,Hill,4,6,,,,,,
2.80,4.20,Hill,5,5,,,,,,
2.40,-3.20,Abfahrt,5,5,,,,,,
3.00,2.10,Hill,4,6,,,,,,
2.60,3.10,Hill,5,5,,,,,,
2.50,-2.80,Abfahrt,5,5,,,,,,
3.20,1.00,Flat,4,6,,,,,,
2.80,2.40,Hill,5,5,,,,,,
2.40,-2.10,Abfahrt,5,5,,,,,,
3.00,0.80,Flat,4,6,,,,finish_flat,Dummy Rolling B Finish,null
