length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.58,0.20,Flat,7,4,start,Dummy TTT A Start,null,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.47,0.90,Flat,7,4,,,,,,
0.40,-0.60,Flat,8,4,,,,,,
0.51,0.50,Flat,8,4,,,,,,
0.58,0.20,Flat,7,4,,,,,,
0.50,0.90,Flat,7,4,,,,finish_TT,Dummy TTT A Finish,null
