length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.64,0.30,Flat,6,5,start,Dummy TTT B Start,null,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.53,1.00,Flat,6,5,,,,,,
0.45,-0.60,Flat,7,5,,,,,,
0.56,0.80,Flat,7,5,,,,,,
0.64,0.30,Flat,6,5,,,,,,
0.60,1.00,Flat,6,5,,,,finish_TT,Dummy TTT B Finish,null
