length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.70,0.20,Flat,5,7,start,Dummy TTT C Start,null,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.58,0.90,Flat,5,7,,,,,,
0.49,-0.50,Flat,6,7,,,,,,
0.62,0.70,Flat,6,7,,,,,,
0.70,0.20,Flat,5,7,,,,,,
0.57,0.90,Flat,5,7,,,,finish_TT,Dummy TTT C Finish,null
