length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.77,0.30,Flat,7,4,start,Dummy TTT D Start,null,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.66,1.20,Flat,7,4,,,,,,
0.55,-0.80,Flat,8,4,,,,,,
0.68,0.80,Flat,8,4,,,,,,
0.77,0.30,Flat,7,4,,,,,,
0.61,1.20,Flat,7,4,,,,finish_TT,Dummy TTT D Finish,null
