length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.82,0.20,Flat,5,6,start,Dummy TTT E Start,null,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.71,0.90,Flat,5,6,,,,,,
0.58,-0.50,Flat,6,5,,,,,,
0.74,0.60,Flat,6,6,,,,,,
0.82,0.20,Flat,5,6,,,,,,
0.73,0.90,Flat,5,6,,,,finish_TT,Dummy TTT E Finish,null
