length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.87,0.50,Flat,6,5,start,Dummy TTT F Start,null,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.75,1.80,Hill,6,5,,,,,,
0.63,-1.00,Flat,7,5,,,,,,
0.80,1.10,Flat,7,5,,,,,,
0.87,0.50,Flat,6,5,,,,,,
0.78,1.80,Hill,6,5,,,,finish_TT,Dummy TTT F Finish,null
