length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.86,0.20,Flat,5,6,start,Dummy TTT G Start,null,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.81,0.70,Flat,6,6,,,,,,
0.86,0.20,Flat,5,6,,,,,,
0.76,1.00,Flat,5,6,,,,,,
0.64,-0.60,Flat,6,6,,,,,,
0.75,0.70,Flat,6,6,,,,finish_TT,Dummy TTT G Finish,null
