length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.95,0.30,Flat,6,5,start,Dummy TTT H Start,null,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.88,0.90,Flat,7,5,,,,,,
0.95,0.30,Flat,6,5,,,,,,
0.83,1.20,Flat,6,5,,,,,,
0.70,-0.70,Flat,7,5,,,,,,
0.90,0.90,Flat,7,5,,,,finish_TT,Dummy TTT H Finish,null
