length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.99,0.40,Flat,6,5,start,Dummy TTT I Start,null,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.91,1.00,Flat,7,5,,,,,,
0.99,0.40,Flat,6,5,,,,,,
0.86,1.70,Hill,6,5,,,,,,
0.72,-0.90,Flat,7,5,,,,,,
0.87,1.00,Flat,7,5,,,,finish_TT,Dummy TTT I Finish,null
