length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.97,0.20,Flat,5,7,start,Dummy TTT J Start,null,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.86,1.00,Flat,5,7,,,,,,
0.72,-0.60,Flat,6,7,,,,,,
0.91,0.80,Flat,6,7,,,,,,
0.97,0.20,Flat,5,7,,,,,,
0.85,1.00,Flat,5,7,,,,finish_TT,Dummy TTT J Finish,null
