length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.07,0.30,Flat,5,6,start,Dummy TTT K Start,null,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.94,1.10,Flat,5,6,,,,,,
0.78,-0.70,Flat,6,5,,,,,,
0.99,0.90,Flat,6,6,,,,,,
1.07,0.30,Flat,5,6,,,,,,
0.89,1.10,Flat,5,6,,,,finish_TT,Dummy TTT K Finish,null
