length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.02,0.30,Flat,5,6,start,Dummy TTT L Start,null,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.91,1.40,Flat,6,5,,,,,,
0.75,-0.80,Flat,6,5,,,,,,
0.95,1.20,Hill,6,5,,,,,,
1.02,2.40,Hill,6,4,,,,,,
0.91,2.90,Hill,6,4,,,,,,
0.75,3.20,Hill,7,4,,,,,,
0.95,2.60,Hill,7,4,,,,,,
1.02,0.30,Flat,5,6,,,,,,
0.94,1.40,Flat,6,5,,,,finish_TT,Dummy TTT L Finish,null
