length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
31.69,0.000,Flat,5,5,start,Start,null,,,
0.38,3.700,Flat,5,5,,,,,,
0.42,9.500,Hill,5,5,,,,,,
5.13,0.500,Flat,5,5,,,,,,
2.05,-2.900,Abfahrt,5,5,,,,,,
1.89,2.100,Flat,5,5,,,,,,
2.35,-1.100,Flat,5,5,,,,,,
0.55,-4.200,Abfahrt,5,5,,,,,,
2.80,0.900,Flat,5,5,,,,,,
0.35,-4.600,Abfahrt,5,5,,,,,,
1.03,2.800,Hill,5,5,,,,,,
0.48,-2.400,Flat,5,5,,,,,,
1.99,1.200,Flat,5,5,,,,,,
0.36,-2.500,Flat,5,5,,,,,,
0.76,3.600,Hill,5,5,,,,,,
2.45,0.000,Flat,5,5,,,,,,
1.25,-3.500,Abfahrt,5,5,,,,,,
1.54,1.000,Flat,5,5,,,,,,
1.24,-2.000,Flat,5,5,,,,,,
0.51,2.200,Flat,5,5,,,,,,
0.99,-1.600,Flat,5,5,,,,,,
6.98,1.200,Flat,5,5,,,,,,
0.41,-3.300,Abfahrt,5,5,,,,,,
0.98,2.200,Flat,5,5,,,,,,
1.28,-0.900,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
1.84,-4.300,Abfahrt,5,5,,,,,,
1.26,1.500,Flat,5,5,,,,,,
0.37,-4.100,Abfahrt,5,5,,,,,,
2.48,0.800,Flat,5,5,,,,,,
0.62,4.200,Cobble_Hill,5,5,,,,,,
0.44,10.200,Cobble_Hill,5,5,,,,,,
1.06,1.200,Flat,5,5,,,,,,
2.92,-1.500,Flat,5,5,,,,,,
0.77,-6.500,Abfahrt,5,5,,,,,,
0.37,2.200,Flat,5,5,,,,,,
2.15,-1.000,Flat,5,5,,,,,,
1.27,5.100,Cobble_Hill,5,5,,,,,,
1.61,0.200,Flat,5,5,,,,,,
0.55,-3.100,Abfahrt,5,5,,,,,,
0.41,-10.700,Abfahrt,5,5,,,,,,
3.87,0.000,Flat,5,5,,,,,,
1.35,3.900,Cobble_Hill,5,5,,,,,,
1.23,-0.800,Flat,5,5,,,,,,
0.48,3.900,Cobble_Hill,5,5,,,,,,
0.39,-2.400,Flat,5,5,,,,,,
0.51,5.200,Cobble_Hill,5,5,,,,,,
10.48,-0.800,Flat,5,5,,,,,,
1.07,2.100,Flat,5,5,,,,,,
0.62,8.400,Cobble_Hill,5,5,,,,,,
0.41,-9.100,Abfahrt,5,5,,,,,,
0.85,-4.100,Abfahrt,5,5,,,,,,
4.53,0.600,Flat,5,5,,,,,,
0.75,9.400,Cobble_Hill,5,5,,,,,,
1.49,-2.000,Flat,5,5,,,,,,
1.51,-5.600,Abfahrt,5,5,,,,,,
3.86,0.500,Flat,5,5,,,,,,
0.67,6.000,Cobble_Hill,5,5,,,,,,
0.83,1.000,Flat,5,5,,,,,,
0.40,4.700,Hill,5,5,,,,,,
0.46,-1.500,Flat,5,5,,,,,,
0.53,3.600,Cobble_Hill,5,5,,,,,,
1.56,0.100,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.96,4.500,Cobble_Hill,5,5,,,,,,
0.40,-10.500,Abfahrt,5,5,,,,,,
1.01,0.100,Flat,5,5,,,,,,
1.04,-6.600,Abfahrt,5,5,,,,,,
3.49,-0.700,Flat,5,5,,,,,,
0.38,5.300,Cobble_Hill,5,5,,,,,,
0.49,9.700,Cobble_Hill,5,5,,,,,,
3.72,-1.600,Flat,5,5,,,,,,
0.43,9.500,Cobble_Hill,5,5,,,,,,
0.92,1.500,Flat,5,5,,,,,,
1.55,-3.500,Abfahrt,5,5,,,,,,
3.60,-0.100,Flat,5,5,,,,,,
0.37,10.000,Cobble_Hill,5,5,,,,,,
1.35,1.800,Flat,5,5,,,,,,
0.36,-2.400,Abfahrt,5,5,,,,,,
0.92,-6.700,Abfahrt,5,5,,,,,,
1.44,-0.100,Flat,5,5,,,,,,
0.59,8.300,Cobble_Hill,5,5,,,,,,
1.06,1.300,Flat,5,5,,,,,,
0.57,-3.800,Abfahrt,5,5,,,,,,
0.50,-8.900,Abfahrt,5,5,,,,,,
3.68,1.800,Flat,5,5,,,,,,
0.51,-8.500,Abfahrt,5,5,,,,,,
0.73,-1.500,Flat,5,5,,,,,,
0.37,5.900,Cobble_Hill,5,5,,,,,,
0.57,-5.700,Abfahrt,5,5,,,,,,
4.99,0.400,Flat,5,5,,,,,,
0.92,5.300,Cobble_Hill,5,5,,,,,,
1.15,-0.400,Flat,5,5,,,,,,
0.57,2.600,Flat,5,5,,,,,,
0.63,-1.800,Flat,5,5,,,,,,
0.77,-7.000,Abfahrt,5,5,,,,,,
0.54,8.800,Cobble_Hill,5,5,,,,,,
1.20,-5.200,Abfahrt,5,5,,,,,,
1.68,-0.200,Flat,5,5,,,,,,
0.61,4.300,Cobble_Hill,5,5,,,,,,
0.53,8.400,Cobble_Hill,5,5,,,,,,
1.11,2.400,Flat,5,5,,,,,,
0.38,-3.100,Abfahrt,5,5,,,,,,
0.53,3.600,Cobble_Hill,5,5,,,,,,
0.57,-1.400,Flat,5,5,,,,,,
0.58,2.200,Flat,5,5,,,,,,
1.06,-6.200,Abfahrt,5,5,,,,,,
1.03,-2.600,Abfahrt,5,5,,,,,,
1.73,2.000,Cobble_Hill,5,5,,,,,,
0.75,9.400,Cobble_Hill,5,5,,,,,,
2.21,-2.800,Abfahrt,5,5,,,,,,
0.77,-6.700,Abfahrt,5,5,,,,,,
6.59,0.500,Cobble_Hill,5,5,,,,,,
0.67,-2.700,Flat,5,5,,,,,,
0.74,6.300,Cobble_Hill,5,5,,,,,,
1.86,-3.200,Abfahrt,5,5,,,,,,
1.16,2.600,Cobble_Hill,5,5,,,,,,
16.41,-0.200,Flat,5,5,,,,finish_flat,Ziel,null
