length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
7.75,-0.100,Flat,5,5,start,Start,null,,,
0.59,3.600,Hill,5,5,,,,,,
17.73,0.600,Flat,5,5,,,,,,
0.70,-4.000,Abfahrt,5,5,,,,,,
5.47,2.000,Medium_Mountain,5,5,climb_start,Sandplakken,null,,,
5.09,5.100,Medium_Mountain,5,5,,,,,,
1.20,2.200,Medium_Mountain,5,5,,,,,,
0.62,7.400,Medium_Mountain,5,5,,,,,,
0.45,0.700,Medium_Mountain,5,5,,,,,,
0.61,5.600,Medium_Mountain,5,5,,,,climb_top,Sandplakken,3
0.54,-2.100,Abfahrt,5,5,,,,,,
1.90,-5.000,Abfahrt,5,5,,,,,,
0.39,-8.900,Abfahrt,5,5,,,,,,
2.14,-4.600,Abfahrt,5,5,,,,,,
0.41,7.100,Medium_Mountain,5,5,climb_start,Feldberg 1,null,,,
2.84,2.000,Medium_Mountain,5,5,,,,,,
0.79,8.800,Medium_Mountain,5,5,,,,,,
0.77,-1.900,Medium_Mountain,5,5,,,,,,
0.47,8.300,Medium_Mountain,5,5,,,,,,
0.43,12.600,Medium_Mountain,5,5,,,,,,
2.61,7.100,Medium_Mountain,5,5,,,,climb_top,Feldberg 1,2
1.27,-6.400,Abfahrt,5,5,,,,,,
0.54,-9.400,Abfahrt,5,5,,,,,,
0.49,-2.400,Abfahrt,5,5,,,,,,
0.66,-6.100,Abfahrt,5,5,,,,,,
0.41,-1.600,Flat,5,5,,,,,,
0.59,-6.600,Abfahrt,5,5,,,,,,
0.69,-2.400,Abfahrt,5,5,,,,,,
1.00,-7.400,Abfahrt,5,5,,,,,,
2.13,-4.600,Abfahrt,5,5,,,,,,
0.43,6.700,Medium_Mountain,5,5,climb_start,Burgweg 1,null,,,
2.84,2.000,Medium_Mountain,5,5,,,,,,
0.79,8.800,Medium_Mountain,5,5,,,,,,
0.77,-1.900,Flat,5,5,,,,,,
0.48,8.500,Medium_Mountain,5,5,,,,,,
0.42,12.400,Medium_Mountain,5,5,,,,,,
0.54,5.100,Medium_Mountain,5,5,,,,climb_top,Burgweg 1,3
1.12,-2.900,Abfahrt,5,5,,,,,,
0.88,-6.500,Abfahrt,5,5,,,,,,
0.36,-10.800,Abfahrt,5,5,,,,,,
0.45,-5.000,Abfahrt,5,5,,,,,,
1.18,0.300,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
2.84,-6.300,Abfahrt,5,5,,,,,,
0.75,1.700,Flat,5,5,,,,,,
0.83,-6.700,Abfahrt,5,5,,,,,,
0.55,-9.600,Abfahrt,5,5,,,,,,
0.43,4.500,Hill,5,5,,,,,,
0.67,-7.000,Abfahrt,5,5,,,,,,
4.62,-1.200,Flat,5,5,,,,,,
2.34,1.600,Flat,5,5,,,,,,
0.50,-3.600,Abfahrt,5,5,,,,,,
1.30,2.600,Hill,5,5,,,,,,
0.42,-1.000,Flat,5,5,,,,,,
1.08,-3.800,Abfahrt,5,5,,,,,,
0.54,2.800,Hill,5,5,,,,,,
0.43,-5.900,Abfahrt,5,5,,,,,,
2.18,-1.400,Flat,5,5,,,,,,
1.31,1.400,Flat,5,5,,,,,,
1.83,-2.600,Flat,5,5,,,,,,
4.50,1.200,Flat,5,5,,,,,,
0.43,-2.000,Flat,5,5,,,,,,
0.36,6.400,Hill,5,5,,,,,,
0.63,-0.900,Flat,5,5,,,,,,
1.42,2.400,Medium_Mountain,5,5,climb_start,Feldberg 2,null,,,
0.59,12.600,Medium_Mountain,5,5,,,,,,
0.69,8.900,Medium_Mountain,5,5,,,,,,
0.60,4.000,Medium_Mountain,5,5,,,,,,
0.71,-1.800,Flat,5,5,,,,,,
0.42,4.200,Medium_Mountain,5,5,,,,,,
0.58,-3.400,Flat,5,5,,,,,,
1.53,7.800,Medium_Mountain,5,5,,,,,,
0.53,1.400,Medium_Mountain,5,5,,,,,,
2.81,5.900,Medium_Mountain,5,5,,,,,,
1.12,2.900,Medium_Mountain,5,5,,,,,,
2.07,7.600,Medium_Mountain,5,5,,,,climb_top,Feldberg 2,2
1.27,-6.400,Abfahrt,5,5,,,,,,
0.54,-9.400,Abfahrt,5,5,,,,,,
0.50,-2.400,Abfahrt,5,5,,,,,,
0.65,-6.100,Abfahrt,5,5,,,,,,
0.41,-1.600,Flat,5,5,,,,,,
0.59,-6.600,Abfahrt,5,5,,,,,,
0.69,-2.400,Abfahrt,5,5,,,,,,
1.00,-7.400,Abfahrt,5,5,,,,,,
2.13,-4.600,Abfahrt,5,5,,,,,,
0.43,6.700,Medium_Mountain,5,5,climb_start,Burgweg 2,null,,,
2.84,2.000,Medium_Mountain,5,5,,,,,,
