length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
6.26,0.400,Flat,5,5,start,Start,null,,,
0.43,4.600,Hill,5,5,,,,,,
1.08,-1.600,Flat,5,5,,,,,,
2.49,4.500,Medium_Mountain,5,5,,,,,,
0.43,8.200,Medium_Mountain,5,5,,,,,,
6.83,4.400,Medium_Mountain,5,5,,,,,,
1.47,-0.400,Flat,5,5,,,,,,
1.02,2.700,Medium_Mountain,5,5,,,,,,
1.12,-0.500,Flat,5,5,,,,,,
1.26,2.900,Medium_Mountain,5,5,,,,,,
2.30,-2.000,Flat,5,5,,,,,,
3.31,3.000,Medium_Mountain,5,5,,,,,,
3.49,-0.600,Flat,5,5,,,,,,
2.05,-5.500,Abfahrt,5,5,,,,,,
0.54,-2.100,Abfahrt,5,5,,,,,,
0.45,2.500,Flat,5,5,,,,,,
7.59,-2.300,Abfahrt,5,5,,,,,,
0.99,4.900,Hill,5,5,,,,,,
0.42,9.600,Hill,5,5,,,,,,
1.10,5.000,Hill,5,5,,,,,,
0.92,2.100,Flat,5,5,,,,,,
0.39,5.000,Hill,5,5,,,,,,
0.82,0.700,Flat,5,5,,,,,,
1.09,4.100,Hill,5,5,,,,,,
1.12,-4.000,Abfahrt,5,5,,,,,,
1.39,3.600,Hill,5,5,,,,,,
3.96,-4.700,Abfahrt,5,5,,,,,,
0.56,-9.100,Abfahrt,5,5,,,,,,
0.56,-3.700,Abfahrt,5,5,,,,,,
0.42,-10.900,Abfahrt,5,5,,,,,,
0.70,-5.600,Abfahrt,5,5,,,,,,
0.88,-8.900,Abfahrt,5,5,,,,,,
1.43,-4.000,Abfahrt,5,5,,,,,,
0.77,1.400,Flat,5,5,,,,,,
0.36,-4.800,Abfahrt,5,5,,,,,,
0.46,2.100,Flat,5,5,,,,,,
2.75,-0.900,Flat,5,5,,,,,,
1.54,10.100,Hill,5,5,,,,,,
0.60,-5.700,Abfahrt,5,5,,,,,,
0.58,5.200,Hill,5,5,,,,,,
0.36,-1.500,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.77,-6.800,Abfahrt,5,5,,,,,,
0.56,-11.000,Abfahrt,5,5,,,,,,
9.33,-0.100,Flat,5,5,,,,,,
0.55,5.900,Hill,5,5,,,,,,
0.54,-4.900,Abfahrt,5,5,,,,,,
0.41,-0.900,Flat,5,5,,,,,,
2.49,4.500,Medium_Mountain,5,5,,,,,,
0.43,8.200,Medium_Mountain,5,5,,,,,,
6.83,4.400,Medium_Mountain,5,5,,,,,,
1.53,-0.400,Flat,5,5,,,,,,
0.96,2.900,Hill,5,5,,,,,,
1.18,-0.400,Flat,5,5,,,,,,
1.20,3.000,Hill,5,5,,,,,,
2.30,-2.000,Flat,5,5,,,,,,
3.31,3.000,Hill,5,5,,,,,,
3.48,-0.600,Flat,5,5,,,,,,
2.06,-5.500,Abfahrt,5,5,,,,,,
0.54,-2.100,Abfahrt,5,5,,,,,,
0.45,2.500,Flat,5,5,,,,,,
7.59,-2.300,Abfahrt,5,5,,,,,,
0.99,4.900,Hill,5,5,,,,,,
0.42,9.600,Hill,5,5,,,,,,
1.10,5.000,Hill,5,5,,,,,,
0.92,2.100,Flat,5,5,,,,,,
0.39,5.000,Hill,5,5,,,,,,
0.82,0.700,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
