length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
11.10,0.400,Flat,5,5,start,Start,null,,,
0.69,3.700,Hill,5,5,,,,,,
0.77,-0.700,Flat,5,5,,,,,,
0.66,3.600,Hill,5,5,,,,,,
0.42,-1.700,Flat,5,5,,,,,,
0.95,-5.100,Abfahrt,5,5,,,,,,
5.11,1.000,Flat,5,5,,,,,,
2.90,5.200,Hill,5,5,,,,,,
0.69,1.700,Flat,5,5,,,,,,
1.64,-4.800,Abfahrt,5,5,,,,,,
0.79,-1.500,Flat,5,5,,,,,,
1.00,-5.400,Abfahrt,5,5,,,,,,
0.95,3.900,Medium_Mountain,5,5,,,,,,
0.79,7.100,Medium_Mountain,5,5,,,,,,
1.25,3.500,Medium_Mountain,5,5,,,,,,
0.74,6.400,Medium_Mountain,5,5,,,,,,
1.45,1.300,Medium_Mountain,5,5,,,,,,
0.82,-3.100,Abfahrt,5,5,,,,,,
0.81,0.400,Flat,5,5,,,,,,
4.34,-4.200,Abfahrt,5,5,,,,,,
0.76,4.100,Hill,5,5,,,,,,
5.24,-0.500,Flat,5,5,,,,,,
0.44,-4.600,Abfahrt,5,5,,,,,,
0.54,1.000,Flat,5,5,,,,,,
0.85,-3.000,Flat,5,5,,,,,,
3.19,-0.200,Flat,5,5,,,,,,
0.56,3.000,Hill,5,5,,,,,,
2.23,5.900,Hill,5,5,,,,,,
0.39,0.300,Flat,5,5,,,,,,
0.71,-6.200,Abfahrt,5,5,,,,,,
0.57,0.100,Flat,5,5,,,,,,
0.72,-3.600,Abfahrt,5,5,,,,,,
1.49,-7.100,Abfahrt,5,5,,,,,,
6.47,-0.800,Flat,5,5,,,,,,
1.23,7.400,Hill,5,5,,,,,,
2.30,0.000,Flat,5,5,,,,,,
0.71,6.500,Hill,5,5,,,,,,
2.28,-4.100,Abfahrt,5,5,,,,,,
1.67,-0.300,Flat,5,5,,,,,,
0.46,6.800,Hill,5,5,,,,,,
0.82,-3.000,Flat,5,5,,,,,,
5.29,2.200,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.78,7.100,Hill,5,5,,,,,,
0.70,2.600,Hill,5,5,,,,,,
1.33,5.600,Hill,5,5,,,,,,
1.45,1.300,Flat,5,5,,,,,,
0.82,-3.100,Abfahrt,5,5,,,,,,
0.81,0.400,Flat,5,5,,,,,,
4.30,-4.200,Abfahrt,5,5,,,,,,
0.78,3.800,Hill,5,5,,,,,,
5.24,-0.500,Flat,5,5,,,,,,
0.44,-4.600,Abfahrt,5,5,,,,,,
6.80,-0.700,Flat,5,5,,,,,,
0.70,2.400,Hill,5,5,,,,,,
1.15,10.100,Hill,5,5,,,,,,
1.02,2.900,Hill,5,5,,,,,,
