length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
5.53,0.200,Flat,5,5,start,Start,null,,,
0.25,-5.100,Abfahrt,5,5,,,,,,
3.08,0.300,Flat,5,5,,,,,,
0.29,5.300,Hill,5,5,,,,,,
0.27,-5.000,Abfahrt,5,5,,,,,,
0.72,3.100,Hill,5,5,,,,,,
0.64,-4.400,Abfahrt,5,5,,,,,,
1.28,-0.400,Flat,5,5,,,,,,
1.79,4.200,Hill,5,5,,,,,,
2.26,-0.500,Flat,5,5,,,,,,
0.88,2.400,Flat,5,5,,,,,,
0.60,-2.200,Abfahrt,5,5,,,,,,
0.64,-7.200,Abfahrt,5,5,,,,,,
1.57,-1.100,Flat,5,5,,,,,,
0.51,8.800,Hill,5,5,,,,,,
0.60,1.200,Flat,5,5,,,,,,
1.77,-3.300,Abfahrt,5,5,,,,,,
0.31,-0.200,Flat,5,5,,,,,,
0.37,9.400,Hill,5,5,,,,,,
0.93,-3.200,Abfahrt,5,5,,,,,,
0.78,-0.400,Flat,5,5,,,,,,
1.73,4.000,Hill,5,5,,,,,,
0.64,-2.200,Abfahrt,5,5,,,,,,
1.04,-5.200,Abfahrt,5,5,,,,,,
1.24,2.800,Hill,5,5,,,,,,
0.46,-5.100,Abfahrt,5,5,,,,,,
0.80,8.800,Hill,5,5,,,,,,
3.16,0.000,Flat,5,5,,,,,,
0.45,-7.000,Abfahrt,5,5,,,,,,
0.32,6.000,Hill,5,5,,,,,,
15.23,-0.500,Flat,5,5,,,,,,
1.27,2.900,Hill,5,5,,,,,,
2.25,-0.400,Flat,5,5,,,,,,
0.58,-3.300,Abfahrt,5,5,,,,,,
1.64,5.700,Hill,5,5,,,,,,
0.78,2.200,Flat,5,5,,,,,,
0.28,8.100,Hill,5,5,,,,,,
0.45,2.800,Flat,5,5,,,,,,
1.36,-3.200,Abfahrt,5,5,,,,,,
1.40,1.300,Flat,5,5,,,,,,
1.01,-6.500,Abfahrt,5,5,,,,,,
1.89,-1.400,Flat,5,5,,,,,,
0.32,5.800,Hill,5,5,,,,,,
3.53,-1.000,Flat,5,5,,,,,,
0.54,3.300,Hill,5,5,,,,,,
2.47,0.600,Flat,5,5,,,,,,
0.30,-3.300,Abfahrt,5,5,,,,,,
8.83,-0.500,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.42,2.800,Flat,5,5,,,,,,
3.65,0.000,Flat,5,5,,,,,,
0.38,-4.100,Abfahrt,5,5,,,,,,
1.30,1.300,Flat,5,5,,,,,,
0.54,-2.400,Flat,5,5,,,,,,
1.96,1.700,Flat,5,5,,,,,,
0.51,6.600,Hill,5,5,,,,,,
1.48,3.400,Hill,5,5,,,,,,
1.84,-0.200,Flat,5,5,,,,,,
1.02,-3.100,Abfahrt,5,5,,,,,,
0.41,-7.100,Abfahrt,5,5,,,,,,
1.46,-2.500,Abfahrt,5,5,,,,,,
1.21,3.300,Hill,5,5,,,,,,
0.92,-4.200,Abfahrt,5,5,,,,,,
7.94,-0.200,Flat,5,5,,,,,,
0.20,7.500,Hill,5,5,,,,,,
0.29,-5.200,Abfahrt,5,5,,,,,,
1.85,0.400,Flat,5,5,,,,,,
0.63,4.300,Hill,5,5,,,,,,
0.45,-6.200,Abfahrt,5,5,,,,,,
2.25,0.000,Flat,5,5,,,,,,
0.39,10.700,Hill,5,5,,,,,,
0.98,4.700,Hill,5,5,,,,,,
0.60,14.300,Hill,5,5,,,,,,
1.08,2.400,Flat,5,5,,,,,,
1.73,-1.400,Flat,5,5,,,,,,
0.34,-6.300,Abfahrt,5,5,,,,,,
0.61,6.600,Hill,5,5,,,,,,
2.19,-6.400,Abfahrt,5,5,,,,,,
5.17,-0.800,Flat,5,5,,,,,,
0.26,8.700,Hill,5,5,,,,,,
0.63,2.300,Flat,5,5,,,,,,
0.50,-2.200,Flat,5,5,,,,,,
0.47,-6.400,Abfahrt,5,5,,,,,,
0.66,9.300,Hill,5,5,,,,,,
0.45,2.800,Flat,5,5,,,,,,
1.39,-5.900,Abfahrt,5,5,,,,,,
8.54,0.000,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.60,4.700,Hill,5,5,,,,,,
0.47,-6.100,Flat,5,5,,,,,,
1.99,-0.300,Flat,5,5,,,,,,
0.26,2.700,Hill,5,5,,,,,,
0.39,10.700,Hill,5,5,,,,,,
0.97,4.600,Hill,5,5,,,,,,
0.61,14.200,Hill,5,5,,,,,,
1.08,2.400,Hill,5,5,,,,,,
1.71,-1.400,Flat,5,5,,,,,,
