length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
3.52,-1.700,Flat,5,5,start,Start,null,,,
1.32,4.200,Hill,5,5,,,,,,
1.03,1.000,Flat,5,5,,,,,,
1.06,-1.900,Flat,5,5,,,,,,
3.80,2.600,Hill,5,5,,,,,,
0.89,-4.800,Abfahrt,5,5,,,,,,
1.37,-0.900,Flat,5,5,,,,,,
1.53,3.300,Hill,5,5,,,,,,
0.75,-3.300,Abfahrt,5,5,,,,,,
0.80,5.800,Hill,5,5,,,,,,
1.12,1.300,Flat,5,5,,,,,,
1.25,-2.800,Abfahrt,5,5,,,,,,
0.47,-6.600,Abfahrt,5,5,,,,,,
0.84,-1.800,Flat,5,5,,,,,,
0.55,1.800,Flat,5,5,,,,,,
0.82,-2.300,Flat,5,5,,,,,,
0.90,0.600,Flat,5,5,,,,,,
0.53,-3.400,Abfahrt,5,5,,,,,,
1.89,2.600,Hill,5,5,,,,,,
0.66,-1.800,Flat,5,5,,,,,,
1.81,-4.800,Abfahrt,5,5,,,,,,
0.99,-1.800,Flat,5,5,,,,,,
0.36,1.900,Hill,5,5,climb_start,Cote de Trasanter,null,,,
0.43,9.800,Hill,5,5,,,,,,
2.33,5.200,Hill,5,5,,,,,,
2.00,1.400,Hill,5,5,,,,climb_top,Cote de Trasanter,3
0.84,-2.100,Abfahrt,5,5,,,,,,
0.35,-7.400,Abfahrt,5,5,,,,,,
0.95,0.600,Flat,5,5,,,,,,
3.17,-2.300,Abfahrt,5,5,,,,,,
0.84,0.500,Flat,5,5,,,,,,
0.79,8.900,Hill,5,5,,,,,,
0.42,3.300,Flat,5,5,,,,,,
0.92,-4.500,Abfahrt,5,5,,,,,,
0.62,2.700,Hill,5,5,,,,,,
1.66,-0.500,Flat,5,5,,,,,,
3.71,-4.400,Abfahrt,5,5,,,,,,
1.83,2.600,Hill,5,5,,,,,,
0.90,-5.300,Abfahrt,5,5,,,,,,
2.54,0.700,Flat,5,5,,,,,,
3.84,3.900,Hill,5,5,,,,,,
3.07,1.100,Flat,5,5,,,,,,
2.28,-2.700,Abfahrt,5,5,,,,,,
2.43,2.300,Flat,5,5,,,,,,
0.43,-2.300,Flat,5,5,,,,,,
1.68,0.400,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
3.23,-4.100,Abfahrt,5,5,,,,,,
4.90,0.000,Flat,5,5,,,,,,
0.87,7.400,Hill,5,5,,,,,,
1.09,3.400,Hill,5,5,,,,,,
1.40,-0.400,Flat,5,5,,,,,,
0.40,-6.500,Abfahrt,5,5,,,,,,
0.91,6.700,Hill,5,5,,,,,,
