length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
7.16,2.600,Hill,5,5,start,Start,null,,,
0.67,9.100,Hill,5,5,,,,,,
0.63,1.000,Flat,5,5,,,,,,
3.79,-5.100,Abfahrt,5,5,,,,,,
17.45,-0.400,Flat,5,5,,,,,,
1.17,3.800,Hill,5,5,,,,,,
0.76,-3.700,Abfahrt,5,5,,,,,,
0.94,1.200,Flat,5,5,,,,,,
0.51,-5.700,Abfahrt,5,5,,,,,,
0.78,5.500,Hill,5,5,,,,,,
0.41,-4.100,Abfahrt,5,5,,,,,,
0.59,9.500,Hill,5,5,,,,,,
0.45,-2.000,Flat,5,5,,,,,,
1.60,-4.900,Abfahrt,5,5,,,,,,
3.42,1.800,Flat,5,5,,,,,,
1.19,-2.900,Abfahrt,5,5,,,,,,
26.78,0.000,Flat,5,5,,,,,,
4.88,2.800,Hill,5,5,,,,,,
12.30,-1.200,Flat,5,5,,,,,,
0.66,2.900,Hill,5,5,,,,,,
2.14,-0.900,Flat,5,5,,,,sprint_intermediate,Sprint 21,Sprint
1.28,2.300,Flat,5,5,,,,,,
0.77,-4.000,Abfahrt,5,5,,,,,,
10.50,0.400,Flat,5,5,,,,,,
2.61,3.600,Hill,5,5,climb_start,Venafro,null,,,
0.45,7.600,Hill,5,5,,,,,,
2.83,3.300,Hill,5,5,,,,climb_top,Venafro,4
5.69,-2.100,Abfahrt,5,5,,,,sprint_intermediate,Sprint 2,Sprint
12.19,0.800,Flat,5,5,,,,,,
1.39,4.700,Hill,5,5,,,,,,
8.36,0.300,Flat,5,5,,,,,,
7.03,4.500,Hill,5,5,climb_start,Romero Santiccio,null,,,
0.36,-0.600,Flat,5,5,,,,,,
6.12,5.300,Medium_Mountain,5,5,,,,climb_top,Romero Santiccio,2
0.92,1.000,Flat,5,5,,,,,,
1.99,-2.200,Abfahrt,5,5,,,,,,
1.69,-5.400,Abfahrt,5,5,,,,,,
0.39,-2.300,Abfahrt,5,5,,,,,,
0.41,-9.000,Abfahrt,5,5,,,,,,
6.44,-0.400,Flat,5,5,,,,,,
3.16,7.000,Medium_Mountain,5,5,climb_start,Roccaraso,null,,,
0.98,10.600,Medium_Mountain,5,5,,,,,,
1.94,3.400,Medium_Mountain,5,5,,,,,,
0.87,6.900,Medium_Mountain,5,5,,,,climb_top,Roccaraso,2
3.01,-0.600,Flat,5,5,,,,,,
0.66,-0.900,Flat,5,5,,,,,,
0.44,3.400,Hill,5,5,,,,,,
0.51,-4.700,Abfahrt,5,5,,,,,,
6.68,0.000,Flat,5,5,,,,,,
1.24,5.700,Hill,5,5,,,,,,
0.51,12.200,Hill,5,5,,,,,,
0.52,-3.100,Abfahrt,5,5,,,,,,
1.30,-7.600,Abfahrt,5,5,,,,,,
3.53,-3.100,Abfahrt,5,5,,,,,,
0.67,1.200,Flat,5,5,,,,,,
5.15,-2.700,Abfahrt,5,5,,,,,,
1.34,5.100,Hill,5,5,climb_start,Passo San Leonardo,null,,,
0.66,2.300,Flat,5,5,,,,,,
0.44,10.700,Hill,5,5,,,,,,
1.58,5.100,Hill,5,5,,,,,,
0.39,-2.800,Flat,5,5,,,,,,
0.97,1.300,Flat,5,5,,,,,,
1.16,-1.600,Flat,5,5,,,,,,
1.98,3.100,Hill,5,5,,,,climb_top,Passo San Leonardo,4
19.10,-4.200,Abfahrt,5,5,,,,,,
2.54,3.100,Hill,5,5,,,,,,
2.05,0.200,Flat,5,5,,,,,,
2.89,-2.700,Abfahrt,5,5,,,,,,
1.15,3.000,Mountain,5,5,,,,,,
0.77,-0.300,Flat,5,5,,,,,,
0.43,2.800,Hill,5,5,,,,,,
1.25,-2.600,Flat,5,5,,,,,,
1.09,1.800,Flat,5,5,,,,,,
0.49,9.400,Mountain,5,5,climb_start,Blockhaus,null,,,
2.02,5.200,Mountain,5,5,,,,,,
4.44,9.400,Mountain,5,5,,,,,,
0.41,12.200,Mountain,5,5,,,,,,
0.81,8.900,Mountain,5,5,,,,,,
1.13,12.100,Mountain,5,5,,,,,,
0.59,6.400,Mountain,5,5,,,,,,
0.40,14.300,Mountain,5,5,,,,,,
2.80,7.000,Mountain,5,5,,,,finish_mountain,Blockhaus,1
