length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
4.83,3.900,Hill,5,5,start,Start,null,,,
4.29,0.700,Flat,5,5,,,,,,
1.08,-3.600,Abfahrt,5,5,,,,,,
0.59,-9.200,Abfahrt,5,5,,,,,,
1.98,0.200,Flat,5,5,,,,,,
1.65,3.500,Hill,5,5,,,,,,
2.11,-0.900,Flat,5,5,,,,,,
0.86,-4.300,Abfahrt,5,5,,,,,,
0.58,-0.300,Flat,5,5,,,,,,
0.47,-5.500,Abfahrt,5,5,,,,,,
4.83,-1.100,Flat,5,5,,,,,,
1.36,2.200,Flat,5,5,,,,,,
0.86,6.000,Hill,5,5,,,,,,
1.34,2.800,Hill,5,5,,,,,,
2.14,0.100,Flat,5,5,,,,,,
1.85,4.300,Hill,5,5,,,,,,
2.34,-0.500,Flat,5,5,,,,,,
4.52,-3.800,Abfahrt,5,5,,,,,,
1.11,7.100,Hill,5,5,,,,,,
0.88,1.500,Flat,5,5,,,,,,
0.52,7.500,Hill,5,5,,,,,,
1.60,2.200,Flat,5,5,,,,,,
0.53,6.000,Hill,5,5,,,,,,
1.07,-0.700,Flat,5,5,,,,,,
1.73,2.400,Flat,5,5,,,,,,
0.57,-2.300,Flat,5,5,,,,,,
1.66,2.500,Hill,5,5,,,,,,
0.62,5.500,Hill,5,5,,,,,,
9.28,0.800,Flat,5,5,,,,,,
1.60,-4.200,Abfahrt,5,5,,,,,,
0.84,0.200,Flat,5,5,,,,,,
1.60,4.800,Hill,5,5,,,,,,
1.75,0.300,Flat,5,5,,,,,,
3.57,3.400,Hill,5,5,,,,,,
7.81,-1.400,Flat,5,5,,,,,,
1.17,-5.500,Abfahrt,5,5,,,,,,
0.89,-2.000,Flat,5,5,,,,,,
0.78,0.800,Flat,5,5,,,,,,
0.36,5.600,Hill,5,5,,,,,,
1.29,-1.200,Flat,5,5,,,,,,
2.01,-4.700,Abfahrt,5,5,,,,,,
0.59,-1.900,Flat,5,5,,,,,,
0.53,-6.200,Abfahrt,5,5,,,,,,
0.43,3.000,Flat,5,5,,,,,,
0.98,10.600,Hill,5,5,,,,,,
0.47,-3.000,Flat,5,5,,,,,,
1.13,1.400,Flat,5,5,,,,,,
1.54,-2.100,Abfahrt,5,5,,,,,,
5.92,1.200,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.88,4.100,Hill,5,5,,,,,,
8.67,-0.300,Flat,5,5,,,,,,
0.48,-7.300,Abfahrt,5,5,,,,,,
1.78,0.200,Flat,5,5,,,,,,
0.77,-5.800,Abfahrt,5,5,,,,,,
0.89,6.000,Hill,5,5,,,,,,
0.47,-6.000,Abfahrt,5,5,,,,,,
0.96,2.900,Hill,5,5,,,,,,
3.37,-2.500,Abfahrt,5,5,,,,,,
0.64,0.500,Flat,5,5,,,,,,
1.91,-4.200,Abfahrt,5,5,,,,,,
0.54,2.400,Flat,5,5,,,,,,
0.49,-4.100,Abfahrt,5,5,,,,,,
1.09,0.100,Flat,5,5,,,,,,
4.15,3.000,Hill,5,5,,,,,,
0.84,0.100,Flat,5,5,,,,,,
1.24,-3.100,Abfahrt,5,5,,,,,,
0.84,0.100,Flat,5,5,,,,,,
0.56,-3.400,Abfahrt,5,5,,,,,,
1.19,1.000,Flat,5,5,,,,,,
1.12,-7.100,Abfahrt,5,5,,,,,,
0.69,-4.100,Abfahrt,5,5,,,,,,
0.53,-8.500,Abfahrt,5,5,,,,,,
0.52,-3.300,Abfahrt,5,5,,,,,,
1.25,0.600,Medium_Mountain,5,5,climb_start,Col de la Haussire,null,,,
1.12,6.900,Medium_Mountain,5,5,,,,,,
1.28,4.100,Medium_Mountain,5,5,,,,,,
1.02,11.700,Medium_Mountain,5,5,,,,,,
