length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
133.96,0.200,Flat,5,5,start,Start,null,,,
0.39,-3.300,Abfahrt,5,5,,,,,,
2.72,0.600,Flat,5,5,,,,,,
0.61,4.700,Hill,5,5,,,,,,
7.97,0.800,Flat,5,5,,,,,,
0.49,5.500,Hill,5,5,,,,,,
0.42,1.100,Flat,5,5,,,,,,
0.66,8.900,Hill,5,5,,,,,,
0.47,4.000,Hill,5,5,,,,,,
1.75,-1.800,Flat,5,5,,,,,,
6.52,-5.300,Abfahrt,5,5,,,,,,
0.59,-1.500,Flat,5,5,,,,,,
1.02,-7.500,Abfahrt,5,5,,,,,,
0.75,-4.100,Abfahrt,5,5,,,,,,
2.36,-0.700,Flat,5,5,,,,,,
0.62,2.900,Hill,5,5,,,,,,
5.27,-0.300,Flat,5,5,,,,,,
1.94,3.300,Hill,5,5,,,,,,
0.97,-6.700,Abfahrt,5,5,,,,,,
3.12,0.000,Flat,5,5,,,,,,
0.61,5.400,Hill,5,5,,,,,,
0.68,-1.100,Flat,5,5,,,,,,
1.90,2.400,Flat,5,5,,,,,,
0.64,-1.000,Flat,5,5,,,,,,
1.08,-5.300,Abfahrt,5,5,,,,,,
4.75,0.100,Flat,5,5,,,,,,
0.36,-3.100,Abfahrt,5,5,,,,,,
0.47,3.000,Flat,5,5,,,,,,
16.29,0.000,Flat,5,5,,,,,,
0.41,8.800,Hill,5,5,,,,,,
0.86,-5.600,Abfahrt,5,5,,,,,,
4.92,0.000,Flat,5,5,,,,,,
1.58,2.700,Hill,5,5,,,,,,
0.75,-0.800,Flat,5,5,,,,,,
0.73,-4.600,Abfahrt,5,5,,,,,,
3.99,0.600,Flat,5,5,,,,,,
0.58,-4.100,Abfahrt,5,5,,,,,,
24.26,0.100,Flat,5,5,,,,,,
0.86,-3.500,Abfahrt,5,5,,,,,,
5.53,-0.200,Flat,5,5,,,,,,
1.75,4.500,Hill,5,5,,,,,,
2.17,-3.500,Abfahrt,5,5,,,,,,
1.88,1.400,Flat,5,5,,,,,,
0.43,5.100,Hill,5,5,,,,,,
6.82,-0.700,Flat,5,5,,,,,,
1.95,6.200,Hill,5,5,,,,,,
2.45,-4.600,Abfahrt,5,5,,,,,,
3.21,0.700,Flat,5,5,,,,,,
1.07,-2.400,Abfahrt,5,5,,,,,,
0.63,1.400,Flat,5,5,,,,,,
0.43,-3.500,Abfahrt,5,5,,,,,,
3.70,0.200,Flat,5,5,,,,,,
5.72,4.100,Hill,5,5,,,,,,
2.16,-6.400,Abfahrt,5,5,,,,,,
0.39,-12.000,Abfahrt,5,5,,,,,,
0.75,-5.500,Abfahrt,5,5,,,,,,
8.02,-0.100,Flat,5,5,,,,,,
4.77,3.200,Hill,5,5,,,,,,
3.01,-4.100,Abfahrt,5,5,,,,,,
2.57,-0.900,Flat,5,5,,,,finish_flat,Ziel,null
