length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
36.61,0.200,Flat,5,5,start,Start,null,,,
0.41,5.800,Hill,5,5,,,,,,
24.65,0.300,Flat,5,5,,,,,,
0.58,3.900,Hill,5,5,,,,,,
0.43,-7.500,Abfahrt,5,5,,,,,,
10.35,0.000,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.45,2.700,Flat,5,5,,,,,,
11.11,-1.000,Flat,5,5,,,,,,
0.46,2.400,Flat,5,5,,,,,,
1.02,-1.600,Flat,5,5,,,,,,
2.57,1.700,Flat,5,5,,,,,,
0.54,7.500,Hill,5,5,,,,,,
0.78,-4.200,Abfahrt,5,5,,,,,,
6.31,-0.700,Flat,5,5,,,,,,
0.44,4.500,Medium_Mountain,5,5,climb_start,Anstieg 1,null,,,
0.45,7.500,Medium_Mountain,5,5,,,,,,
0.40,16.900,Medium_Mountain,5,5,,,,,,
0.44,6.200,Medium_Mountain,5,5,,,,,,
1.04,12.400,Medium_Mountain,5,5,,,,,,
0.43,6.100,Medium_Mountain,5,5,,,,,,
0.56,10.200,Medium_Mountain,5,5,,,,climb_top,Anstieg 1,2
0.49,-10.800,Abfahrt,5,5,,,,,,
0.68,5.200,Hill,5,5,,,,,,
0.74,-5.200,Abfahrt,5,5,,,,,,
2.08,-9.300,Abfahrt,5,5,,,,,,
1.05,-3.400,Abfahrt,5,5,,,,,,
1.31,2.700,Medium_Mountain,5,5,climb_start,Anstieg 2,null,,,
1.89,10.600,Medium_Mountain,5,5,,,,,,
0.48,6.400,Medium_Mountain,5,5,,,,,,
0.43,0.700,Flat,5,5,,,,,,
0.38,-10.200,Abfahrt,5,5,,,,,,
0.56,0.900,Flat,5,5,,,,,,
0.60,5.800,Medium_Mountain,5,5,,,,climb_top,Anstieg 2,3
0.45,-14.900,Abfahrt,5,5,,,,,,
0.81,-11.000,Abfahrt,5,5,,,,,,
0.36,-7.400,Abfahrt,5,5,,,,,,
0.40,-14.600,Abfahrt,5,5,,,,,,
0.88,-9.700,Abfahrt,5,5,,,,,,
1.00,-3.400,Abfahrt,5,5,,,,,,
0.50,3.700,Medium_Mountain,5,5,climb_start,Anstieg 3,null,,,
0.61,-0.700,Flat,5,5,,,,,,
0.44,4.500,Medium_Mountain,5,5,,,,,,
0.45,7.500,Medium_Mountain,5,5,,,,,,
0.40,16.900,Medium_Mountain,5,5,,,,,,
0.44,6.200,Medium_Mountain,5,5,,,,,,
1.04,12.400,Medium_Mountain,5,5,,,,,,
0.43,6.100,Medium_Mountain,5,5,,,,,,
0.56,10.200,Medium_Mountain,5,5,,,,climb_top,Anstieg 3,2
0.49,-10.800,Abfahrt,5,5,,,,,,
0.68,5.200,Hill,5,5,,,,,,
0.74,-5.200,Abfahrt,5,5,,,,,,
2.10,-9.300,Abfahrt,5,5,,,,,,
12.42,-0.600,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.72,10.800,Hill,5,5,,,,,,
0.89,-7.200,Abfahrt,5,5,,,,,,
0.67,-1.900,Flat,5,5,,,,,,
0.44,0.900,Flat,5,5,,,,,,
0.39,7.400,Hill,5,5,,,,,,
0.60,-12.900,Abfahrt,5,5,,,,,,
0.46,7.000,Hill,5,5,,,,,,
2.90,-1.600,Flat,5,5,,,,,,
3.00,1.200,Flat,5,5,climb_start,Anstieg 3_5,null,,,
0.42,13.800,Hill,5,5,,,,,,
2.73,3.100,Hill,5,5,,,,climb_top,Anstieg 3_5,4
3.99,-2.100,Abfahrt,5,5,,,,,,
0.47,1.600,Flat,5,5,,,,,,
4.38,-2.000,Flat,5,5,,,,,,
1.07,2.400,Flat,5,5,,,,,,
0.47,-9.600,Abfahrt,5,5,,,,,,
0.40,-3.200,Abfahrt,5,5,,,,,,
0.54,13.600,Hill,5,5,,,,,,
0.39,-17.000,Abfahrt,5,5,,,,,,
1.00,5.600,Hill,5,5,climb_start,Anstieg 4,null,,,
0.38,-10.400,Flat,5,5,,,,,,
0.89,0.200,Flat,5,5,,,,,,
0.59,6.100,Hill,5,5,,,,,,
0.68,11.300,Hill,5,5,,,,,,
0.55,1.500,Flat,5,5,,,,,,
0.92,8.200,Hill,5,5,,,,climb_top,Anstieg 4,3
0.81,-11.200,Abfahrt,5,5,,,,,,
0.55,-5.900,Abfahrt,5,5,,,,,,
0.36,4.100,Flat,5,5,,,,,,
0.37,14.400,Hill,5,5,,,,,,
0.79,-8.700,Abfahrt,5,5,,,,,,
8.99,-0.500,Flat,5,5,,,,,,
0.42,13.800,Hill,5,5,climb_start,Anstieg 5,null,,,
2.73,3.100,Hill,5,5,,,,climb_top,Anstieg 5,4
3.99,-2.100,Abfahrt,5,5,,,,,,
0.47,1.600,Flat,5,5,,,,,,
4.38,-2.000,Flat,5,5,,,,,,
1.07,2.400,Flat,5,5,,,,,,
0.47,-9.600,Abfahrt,5,5,,,,,,
0.40,-3.200,Abfahrt,5,5,,,,,,
0.54,13.600,Hill,5,5,,,,,,
0.39,-17.000,Abfahrt,5,5,,,,,,
1.00,5.600,Hill,5,5,climb_start,Anstieg 6,null,,,
0.38,-10.400,Abfahrt,5,5,,,,,,
0.89,0.200,Flat,5,5,,,,,,
0.59,6.100,Hill,5,5,,,,,,
0.68,11.300,Hill,5,5,,,,,,
0.55,1.500,Hill,5,5,,,,,,
0.92,8.200,Hill,5,5,,,,climb_top,Anstieg 6,4
1.27,-10.700,Abfahrt,5,5,,,,,,
0.46,-7.300,Abfahrt,5,5,,,,,,
1.75,-2.500,Abfahrt,5,5,,,,finish_flat,Ziel,null
