length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
37.49,0.100,Flat,5,5,start,Start,null,,,
0.45,2.800,Cobble,5,5,,,,,,
17.37,0.000,Flat,5,5,,,,,,
0.98,-3.600,Abfahrt,5,5,,,,,,
2.01,2.400,Cobble,5,5,,,,,,
0.44,-4.300,Abfahrt,5,5,,,,,,
1.66,-0.100,Flat,5,5,,,,,,
0.53,4.900,Cobble_Hill,5,5,,,,,,
2.71,0.600,Cobble_Hill,5,5,,,,,,
1.25,-2.600,Abfahrt,5,5,,,,,,
0.78,3.700,Cobble_Hill,5,5,,,,,,
1.92,-0.200,Flat,5,5,,,,,,
1.21,-5.100,Abfahrt,5,5,,,,,,
4.47,-0.200,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.38,3.600,Cobble_Hill,5,5,,,,,,
0.38,9.300,Cobble_Hill,5,5,,,,,,
0.80,1.500,Flat,5,5,,,,,,
0.97,-1.200,Flat,5,5,,,,,,
1.17,-4.700,Abfahrt,5,5,,,,,,
24.54,0.000,Flat,5,5,,,,,,
0.51,4.300,Hill,5,5,,,,,,
25.16,0.100,Flat,5,5,,,,,,
0.98,-3.600,Abfahrt,5,5,,,,,,
2.01,2.400,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.44,-4.300,Abfahrt,5,5,,,,,,
1.66,-0.100,Flat,5,5,,,,,,
0.53,4.900,Cobble_Hill,5,5,,,,,,
2.71,0.600,Flat,5,5,,,,,,
1.25,-2.600,Abfahrt,5,5,,,,,,
0.78,3.700,Hill,5,5,,,,,,
1.92,-0.200,Flat,5,5,,,,,,
1.21,-5.100,Abfahrt,5,5,,,,,,
4.38,-0.200,Flat,5,5,,,,,,
0.47,2.900,Flat,5,5,,,,,,
0.72,6.400,Cobble_Hill,5,5,,,,,,
2.72,-0.300,Flat,5,5,,,,,,
0.49,-6.900,Abfahrt,5,5,,,,,,
0.37,-2.500,Flat,5,5,,,,,,
0.75,5.500,Hill,5,5,,,,,,
3.30,-1.400,Cobble,5,5,,,,,,
1.40,3.000,Cobble_Hill,5,5,,,,,,
0.44,-2.000,Flat,5,5,,,,,,
0.72,3.100,Hill,5,5,,,,,,
5.91,-1.000,Flat,5,5,,,,,,
0.59,5.800,Cobble_Hill,5,5,,,,,,
1.42,0.700,Flat,5,5,,,,,,
0.98,-3.600,Abfahrt,5,5,,,,,,
2.01,2.400,Flat,5,5,,,,,,
0.47,-3.900,Abfahrt,5,5,,,,,,
1.64,-0.100,Flat,5,5,,,,,,
0.69,4.500,Cobble_Hill,5,5,,,,,,
0.79,1.300,Flat,5,5,,,,,,
2.36,-3.000,Abfahrt,5,5,,,,,,
0.45,1.800,Flat,5,5,,,,,,
0.59,8.800,Cobble_Hill,5,5,,,,,,
3.74,-0.300,Flat,5,5,,,,,,
0.53,-4.200,Abfahrt,5,5,,,,,,
2.76,-0.600,Flat,5,5,,,,,,
0.62,4.800,Cobble_Hill,5,5,,,,,,
1.58,-2.000,Flat,5,5,,,,,,
1.06,1.600,Flat,5,5,,,,,,
0.36,8.100,Cobble_Hill,5,5,,,,,,
6.00,-1.000,Flat,5,5,,,,,,
0.65,6.200,Cobble_Hill,5,5,,,,,,
0.44,9.800,Cobble_Hill,5,5,,,,,,
2.72,-2.500,Abfahrt,5,5,,,,,,
0.84,2.500,Cobble,5,5,,,,,,
0.57,8.000,Cobble_Hill,5,5,,,,,,
11.64,-0.800,Flat,5,5,,,,finish_flat,Ziel,null
