length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
7.71,0.700,Flat,5,5,start,Start,null,,,
10.81,4.600,Hill,5,5,climb_start,Cote de Carros,null,,,
1.06,-0.800,Flat,5,5,,,,climb_top,Cote de Carros,2
0.41,-5.500,Abfahrt,5,5,,,,,,
2.11,-1.200,Flat,5,5,,,,,,
0.67,4.000,Hill,5,5,climb_start,Cote de Bouyon,null,,,
0.93,7.600,Hill,5,5,,,,,,
0.94,2.300,Hill,5,5,,,,climb_top,Cote de Bouyon,4
0.53,-1.900,Flat,5,5,,,,,,
0.60,-6.200,Abfahrt,5,5,,,,,,
0.47,-1.400,Flat,5,5,,,,,,
0.47,3.100,Flat,5,5,,,,,,
0.43,-2.200,Flat,5,5,,,,,,
2.53,1.100,Flat,5,5,,,,,,
1.05,-2.100,Abfahrt,5,5,,,,,,
0.40,3.000,Flat,5,5,,,,,,
1.60,-0.100,Flat,5,5,,,,,,
0.51,5.000,Hill,5,5,,,,,,
1.30,0.000,Flat,5,5,,,,,,
4.45,-5.400,Abfahrt,5,5,,,,,,
0.45,1.800,Flat,5,5,,,,,,
0.44,-5.900,Abfahrt,5,5,,,,,,
2.85,0.200,Flat,5,5,,,,,,
0.48,-5.200,Abfahrt,5,5,,,,,,
9.44,0.100,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.43,-5.800,Abfahrt,5,5,,,,,,
0.50,0.800,Flat,5,5,,,,,,
0.35,4.800,Hill,5,5,,,,,,
2.98,0.200,Flat,5,5,,,,,,
0.47,-4.100,Abfahrt,5,5,,,,,,
0.42,-9.400,Abfahrt,5,5,,,,,,
0.49,1.000,Flat,5,5,,,,,,
0.37,-1.800,Flat,5,5,,,,,,
0.93,4.000,Hill,5,5,climb_start,Gilette,null,,,
0.37,8.900,Hill,5,5,,,,,,
0.80,2.000,Flat,5,5,,,,,,
0.45,10.200,Hill,5,5,,,,climb_top,Gilette,3
1.32,0.400,Flat,5,5,,,,,,
0.41,-4.300,Abfahrt,5,5,,,,,,
0.68,-0.700,Flat,5,5,,,,,,
0.61,4.100,Hill,5,5,,,,,,
1.02,0.900,Flat,5,5,,,,,,
4.47,-3.600,Abfahrt,5,5,,,,,,
1.00,-7.100,Abfahrt,5,5,,,,,,
2.21,-4.400,Abfahrt,5,5,,,,,,
0.60,0.200,Flat,5,5,,,,,,
0.87,2.900,Hill,5,5,,,,,,
0.36,-2.500,Flat,5,5,,,,,,
4.53,1.000,Flat,5,5,,,,,,
0.39,-3.500,Abfahrt,5,5,,,,,,
0.59,4.200,Hill,5,5,,,,,,
6.79,0.900,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.41,7.900,Hill,5,5,,,,,,
0.35,-9.300,Abfahrt,5,5,,,,,,
0.61,-2.200,Flat,5,5,,,,,,
5.29,1.500,Flat,5,5,,,,,,
0.69,4.500,Medium_Mountain,5,5,,,,,,
6.68,1.200,Flat,5,5,,,,,,
0.36,15.100,Medium_Mountain,5,5,,,,,,
0.42,-5.200,Abfahrt,5,5,,,,,,
0.49,8.800,Medium_Mountain,5,5,,,,,,
0.59,-2.400,Abfahrt,5,5,,,,,,
0.43,-5.700,Abfahrt,5,5,,,,,,
2.23,0.800,Flat,5,5,,,,,,
0.39,5.700,Medium_Mountain,5,5,,,,,,
0.44,-2.200,Flat,5,5,,,,,,
2.71,4.500,Medium_Mountain,5,5,,,,,,
2.94,1.700,Flat,5,5,,,,,,
1.41,5.200,Medium_Mountain,5,5,,,,,,
2.19,0.800,Flat,5,5,,,,,,
0.48,6.400,Medium_Mountain,5,5,,,,,,
7.92,1.900,Flat,5,5,,,,,,
0.39,4.700,Medium_Mountain,5,5,climb_start,Isola-La-Village,null,,,
3.92,1.600,Hill,5,5,,,,,,
0.49,5.300,Medium_Mountain,5,5,,,,,,
2.44,1.000,Hill,5,5,,,,,,
5.95,7.000,Medium_Mountain,5,5,,,,,,
0.55,11.300,Mountain,5,5,,,,,,
0.96,6.200,Mountain,5,5,,,,finish_mountain,Isola-La-Village,1
