length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.83,0.800,Flat,5,5,start,Start,null,,,
0.46,3.900,Hill,5,5,,,,,,
2.16,-0.300,Flat,5,5,,,,,,
0.48,6.000,Hill,5,5,,,,,,
1.20,1.500,Flat,5,5,,,,,,
2.13,-2.000,Flat,5,5,,,,,,
1.69,1.900,Flat,5,5,,,,,,
1.20,-1.100,Flat,5,5,,,,,,
0.41,-5.900,Abfahrt,5,5,,,,,,
1.04,-1.800,Flat,5,5,,,,,,
1.16,5.900,Hill,5,5,,,,,,
0.62,-7.100,Abfahrt,5,5,,,,,,
12.61,-0.300,Flat,5,5,,,,,,
0.52,4.800,Hill,5,5,,,,,,
14.00,0.000,Flat,5,5,,,,,,
0.87,-3.000,Flat,5,5,,,,,,
5.60,0.100,Flat,5,5,,,,,,
1.06,5.300,Hill,5,5,,,,,,
3.54,0.000,Flat,5,5,,,,,,
0.41,-5.900,Abfahrt,5,5,,,,,,
1.04,-1.800,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
1.16,5.900,Hill,5,5,,,,,,
1.11,-6.400,Abfahrt,5,5,,,,,,
1.16,0.900,Flat,5,5,,,,,,
0.46,3.900,Hill,5,5,,,,,,
1.97,-0.100,Flat,5,5,,,,,,
0.91,4.400,Hill,5,5,,,,,,
3.37,0.100,Flat,5,5,,,,,,
0.79,-4.400,Abfahrt,5,5,,,,,,
0.96,-0.100,Flat,5,5,,,,,,
1.47,3.600,Hill,5,5,,,,,,
1.58,-2.300,Abfahrt,5,5,,,,,,
0.67,1.600,Flat,5,5,,,,,,
0.63,-1.100,Flat,5,5,,,,,,
1.38,2.500,Hill,5,5,,,,,,
11.13,-0.400,Flat,5,5,,,,,,
0.74,-4.100,Abfahrt,5,5,,,,,,
0.90,4.300,Hill,5,5,,,,,,
10.40,-0.600,Flat,5,5,,,,,,
0.41,8.800,Cobble_Hill,5,5,,,,,,
1.05,1.700,Flat,5,5,,,,,,
0.54,-1.500,Flat,5,5,,,,,,
0.81,-5.100,Abfahrt,5,5,,,,,,
3.88,0.200,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
1.45,3.900,Hill,5,5,,,,,,
3.37,-1.700,Flat,5,5,,,,,,
1.39,3.000,Hill,5,5,,,,,,
4.20,-1.300,Flat,5,5,,,,,,
0.62,7.300,Cobble_Hill,5,5,,,,,,
0.39,-0.300,Flat,5,5,,,,,,
0.82,-5.400,Abfahrt,5,5,,,,,,
0.70,-0.100,Flat,5,5,,,,,,
0.57,6.800,Cobble_Hill,5,5,,,,,,
1.05,1.600,Flat,5,5,,,,,,
0.54,-1.500,Flat,5,5,,,,,,
0.81,-5.100,Abfahrt,5,5,,,,,,
3.88,0.200,Flat,5,5,,,,,,
1.45,3.900,Hill,5,5,,,,,,
1.07,-0.600,Flat,5,5,,,,,,
0.66,-5.600,Abfahrt,5,5,,,,,,
2.03,-0.300,Flat,5,5,,,,,,
0.42,6.400,Cobble_Hill,5,5,,,,,,
1.84,-0.200,Flat,5,5,,,,,,
1.39,-2.900,Abfahrt,5,5,,,,,,
1.59,-0.200,Flat,5,5,,,,,,
0.56,7.900,Hill,5,5,,,,,,
1.16,-3.600,Abfahrt,5,5,,,,,,
0.78,-0.400,Flat,5,5,,,,,,
0.57,6.700,Cobble_Hill,5,5,,,,,,
1.22,1.500,Flat,5,5,,,,,,
1.18,-4.200,Abfahrt,5,5,,,,,,
3.97,0.200,Flat,5,5,,,,,,
1.10,4.400,Hill,5,5,,,,,,
1.52,-0.300,Flat,5,5,,,,,,
0.46,-7.000,Abfahrt,5,5,,,,,,
2.03,-0.300,Flat,5,5,,,,,,
0.42,6.400,Cobble_Hill,5,5,,,,,,
1.85,-0.200,Flat,5,5,,,,,,
1.39,-2.900,Abfahrt,5,5,,,,,,
0.45,1.800,Flat,5,5,,,,,,
1.14,-1.000,Flat,5,5,,,,,,
0.59,7.600,Hill,5,5,,,,,,
1.13,-3.800,Abfahrt,5,5,,,,,,
0.78,-0.400,Flat,5,5,,,,,,
0.57,6.800,Cobble_Hill,5,5,,,,,,
1.05,1.600,Flat,5,5,,,,,,
0.54,-1.500,Flat,5,5,,,,,,
0.81,-5.100,Abfahrt,5,5,,,,,,
3.88,0.200,Flat,5,5,,,,,,
1.54,3.600,Hill,5,5,,,,finish_hill,Ziel,null
