length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
2.81,-2.000,Flat,5,5,start,Start,,,,
0.74,0.500,Mountain,5,5,climb_start,A,,,,
0.22,7.300,Mountain,5,5,,,,,,
0.39,14.600,Mountain,5,5,,,,,,
0.65,3.200,Mountain,5,5,,,,,,
0.61,9.300,Mountain,5,5,,,,,,
0.36,-0.300,Mountain,5,5,,,,,,
2.99,3.300,Mountain,5,5,,,,,,
0.83,1.400,Mountain,5,5,,,,,,
1.87,5.000,Mountain,5,5,,,,,,
1.61,3.300,Mountain,5,5,,,,,,
1.07,5.400,Mountain,5,5,,,,,,
0.39,10.500,Mountain,5,5,,,,,,
0.48,3.500,Mountain,5,5,,,,climb_top,A,2
1.09,-3.900,Abfahrt,5,5,,,,,,
0.25,6.000,Flat,5,5,,,,,,
0.25,-2.400,Abfahrt,5,5,,,,,,
0.69,-9.000,Abfahrt,5,5,,,,,,
0.84,-5.100,Abfahrt,5,5,,,,,,
0.58,-9.000,Abfahrt,5,5,,,,,,
2.68,-5.500,Abfahrt,5,5,,,,,,
0.98,-8.000,Abfahrt,5,5,,,,,,
0.91,-5.100,Abfahrt,5,5,,,,,,
0.87,-8.500,Abfahrt,5,5,,,,,,
1.48,-4.100,Abfahrt,5,5,,,,,,
3.36,0.100,Flat,5,5,,,,sprint_intermediate,Traghetto Sprint,Sprint
1.47,1.800,Flat,5,5,,,,,,
0.93,-1.500,Flat,5,5,,,,,,
1.49,0.100,Flat,5,5,,,,,,
2.68,0.900,Flat,5,5,,,,,,
1.18,2.700,Flat,5,5,,,,,,
2.00,-0.900,Flat,5,5,,,,,,
1.05,0.800,Flat,5,5,,,,,,
0.30,8.000,Flat,5,5,,,,,,
1.67,-0.700,Flat,5,5,,,,,,
0.43,5.600,Flat,5,5,,,,,,
0.63,-1.700,Flat,5,5,,,,,,
6.44,0.200,Flat,5,5,,,,,,
1.37,2.700,Mountain,5,5,climb_start,A,,,,
0.42,5.700,Mountain,5,5,,,,,,
1.42,8.700,Mountain,5,5,,,,,,
1.54,6.700,Mountain,5,5,,,,,,
0.36,11.700,Mountain,5,5,,,,,,
2.51,5.300,Mountain,5,5,,,,,,
0.56,7.700,Mountain,5,5,,,,,,
0.38,11.800,Mountain,5,5,,,,,,
0.50,2.400,Mountain,5,5,,,,,,
0.93,6.000,Mountain,5,5,,,,,,
0.51,9.400,Mountain,5,5,,,,,,
0.45,2.700,Mountain,5,5,,,,,,
1.13,6.600,Mountain,5,5,,,,,,
1.19,10.800,Mountain,5,5,,,,,,
0.81,11.900,Mountain,5,5,,,,,,
0.37,15.900,Mountain,5,5,,,,,,
0.21,5.200,Mountain,5,5,,,,,,
0.44,11.600,Mountain,5,5,,,,,,
2.15,7.100,Mountain,5,5,,,,climb_top,A,1
2.47,-6.100,Abfahrt,5,5,,,,,,
0.49,-8.400,Abfahrt,5,5,,,,,,
0.22,-14.100,Abfahrt,5,5,,,,,,
0.27,-0.700,Abfahrt,5,5,,,,,,
1.22,-9.400,Abfahrt,5,5,,,,,,
0.40,-2.500,Abfahrt,5,5,,,,,,
1.75,-7.800,Abfahrt,5,5,,,,,,
0.62,-5.800,Abfahrt,5,5,,,,,,
0.26,-13.100,Abfahrt,5,5,,,,,,
0.31,-2.900,Abfahrt,5,5,,,,,,
0.66,-8.300,Abfahrt,5,5,,,,,,
0.30,-3.700,Abfahrt,5,5,,,,,,
0.89,-10.000,Abfahrt,5,5,,,,,,
0.55,-5.600,Abfahrt,5,5,,,,,,
1.36,-8.200,Abfahrt,5,5,,,,,,
0.38,-12.600,Abfahrt,5,5,,,,,,
0.53,-1.300,Abfahrt,5,5,,,,,,
1.28,-7.200,Abfahrt,5,5,,,,,,
0.41,-0.200,Flat,5,5,,,,,,
0.82,-10.200,Abfahrt,5,5,,,,,,
1.60,2.400,Flat,5,5,,,,sprint_intermediate,Classic Sprint,Sprint
2.37,-1.300,Flat,5,5,,,,,,
0.88,-3.200,Flat,5,5,,,,,,
0.27,1.500,Flat,5,5,,,,,,
0.34,7.600,Flat,5,5,,,,,,
0.64,1.600,Flat,5,5,,,,,,
1.97,-3.800,Abfahrt,5,5,,,,,,
2.69,0.400,Flat,5,5,,,,,,
1.12,5.800,Mountain,5,5,climb_start,A,,,,
0.35,13.400,Mountain,5,5,,,,,,
2.25,8.200,Mountain,5,5,,,,,,
0.34,11.800,Mountain,5,5,,,,,,
1.26,6.900,Mountain,5,5,,,,,,
0.62,10.000,Mountain,5,5,,,,,,
1.30,6.700,Mountain,5,5,,,,,,
0.23,12.200,Mountain,5,5,,,,,,
1.79,4.600,Mountain,5,5,,,,,,
0.77,7.900,Mountain,5,5,,,,,,
1.69,6.000,Mountain,5,5,,,,,,
1.63,8.200,Mountain,5,5,,,,,,
1.02,2.800,Mountain,5,5,,,,,,
0.97,11.300,Mountain,5,5,,,,,,
0.48,5.400,Mountain,5,5,,,,,,
0.38,10.000,Mountain,5,5,,,,,,
0.37,3.000,Mountain,5,5,,,,climb_top,A,1
0.86,-6.900,Abfahrt,5,5,,,,,,
1.30,-3.300,Abfahrt,5,5,,,,,,
0.83,-5.400,Abfahrt,5,5,,,,,,
0.43,-13.000,Abfahrt,5,5,,,,,,
0.27,0.700,Flat,5,5,,,,,,
0.25,-6.400,Abfahrt,5,5,,,,,,
1.20,-7.900,Abfahrt,5,5,,,,,,
0.80,-10.900,Abfahrt,5,5,,,,,,
0.30,-4.700,Abfahrt,5,5,,,,,,
0.68,-9.300,Abfahrt,5,5,,,,,,
0.33,-2.400,Abfahrt,5,5,,,,,,
0.29,-13.100,Abfahrt,5,5,,,,,,
0.86,-5.900,Abfahrt,5,5,,,,,,
0.59,-9.800,Abfahrt,5,5,,,,,,
0.58,-2.200,Abfahrt,5,5,,,,,,
2.03,-6.700,Abfahrt,5,5,,,,,,
0.36,-3.300,Abfahrt,5,5,,,,,,
0.38,-7.100,Abfahrt,5,5,,,,,,
0.54,-10.900,Abfahrt,5,5,,,,,,
1.11,-4.600,Abfahrt,5,5,,,,,,
0.75,-7.600,Abfahrt,5,5,,,,,,
