length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.66,-4.800,Abfahrt,5,5,start,Start,null,,,
0.44,-0.400,Flat,5,5,,,,,,
0.59,5.900,Hill,5,5,,,,,,
0.80,-2.600,Flat,5,5,,,,,,
0.40,1.300,Flat,5,5,,,,,,
0.52,-4.200,Abfahrt,5,5,,,,,,
0.76,2.900,Hill,5,5,,,,,,
8.25,-0.900,Flat,5,5,,,,,,
1.27,2.700,Hill,5,5,,,,,,
0.54,-1.200,Hill,5,5,,,,,,
0.57,4.300,Hill,5,5,,,,,,
1.54,7.100,Hill,5,5,,,,,,
1.09,2.800,Hill,5,5,,,,,,
0.74,-1.900,Flat,5,5,,,,,,
1.02,-7.300,Abfahrt,5,5,,,,,,
1.53,-0.900,Flat,5,5,,,,,,
0.79,-7.900,Abfahrt,5,5,,,,,,
0.80,5.300,Hill,5,5,,,,,,
0.55,-1.800,Flat,5,5,,,,,,
0.45,-9.200,Abfahrt,5,5,,,,,,
0.36,7.200,Hill,5,5,,,,,,
0.49,2.000,Flat,5,5,,,,,,
0.64,4.900,Hill,5,5,,,,,,
0.65,-0.800,Flat,5,5,,,,,,
0.37,-6.400,Abfahrt,5,5,,,,,,
1.33,-1.200,Flat,5,5,,,,,,
0.57,8.700,Hill,5,5,,,,,,
1.25,0.300,Flat,5,5,,,,,,
0.54,4.800,Hill,5,5,,,,,,
0.42,-6.400,Abfahrt,5,5,,,,,,
1.22,0.100,Flat,5,5,,,,,,
0.46,4.100,Hill,5,5,,,,,,
0.40,-3.500,Abfahrt,5,5,,,,,,
0.87,0.700,Flat,5,5,,,,,,
1.81,-5.200,Abfahrt,5,5,,,,,,
2.01,3.300,Hill,5,5,,,,,,
1.85,-1.400,Flat,5,5,,,,,,
0.97,-9.000,Abfahrt,5,5,,,,,,
3.94,-0.100,Flat,5,5,,,,,,
0.53,3.700,Medium_Mountain,5,5,,,,,,
0.89,-2.400,Medium_Mountain,5,5,,,,,,
2.40,0.900,Medium_Mountain,5,5,,,,,,
5.59,5.200,Medium_Mountain,5,5,,,,,,
2.87,-5.800,Abfahrt,5,5,,,,,,
1.58,-2.900,Abfahrt,5,5,,,,,,
2.94,0.500,Flat,5,5,,,,,,
0.52,-2.500,Flat,5,5,,,,,,
0.78,7.200,Hill,5,5,,,,,,
2.14,3.300,Hill,5,5,,,,,,
1.34,-1.500,Flat,5,5,,,,,,
0.73,2.100,Flat,5,5,,,,,,
0.42,-3.700,Abfahrt,5,5,,,,,,
0.89,4.100,Hill,5,5,,,,,,
0.38,-4.000,Abfahrt,5,5,,,,,,
1.44,1.100,Flat,5,5,,,,,,
0.43,-2.900,Flat,5,5,,,,,,
0.82,1.200,Flat,5,5,,,,,,
0.47,-3.900,Abfahrt,5,5,,,,,,
1.88,0.200,Flat,5,5,,,,,,
0.69,-5.500,Abfahrt,5,5,,,,,,
0.58,-10.800,Abfahrt,5,5,,,,,,
0.36,-3.800,Abfahrt,5,5,,,,,,
1.13,1.000,Flat,5,5,,,,,,
0.50,7.000,Hill,5,5,,,,,,
0.42,1.100,Flat,5,5,,,,,,
1.71,-5.600,Abfahrt,5,5,,,,,,
1.89,5.300,Hill,5,5,,,,,,
3.86,-2.300,Abfahrt,5,5,,,,,,
0.69,-8.200,Abfahrt,5,5,,,,,,
7.17,0.000,Flat,5,5,,,,,,
0.36,4.400,Hill,5,5,,,,,,
8.37,0.000,Flat,5,5,,,,,,
0.43,9.500,Hill,5,5,,,,,,
0.78,-5.800,Abfahrt,5,5,,,,,,
0.42,-0.300,Flat,5,5,,,,,,
0.64,9.500,Hill,5,5,,,,,,
0.39,-1.300,Flat,5,5,,,,,,
0.65,5.900,Hill,5,5,,,,,,
0.64,-5.100,Abfahrt,5,5,,,,,,
0.66,3.000,Hill,5,5,,,,,,
0.46,-1.000,Flat,5,5,,,,,,
0.51,5.600,Hill,5,5,,,,,,
0.73,-2.300,Flat,5,5,,,,,,
1.03,7.000,Hill,5,5,,,,,,
0.42,-1.400,Flat,5,5,,,,,,
0.48,2.300,Flat,5,5,,,,,,
1.25,-5.000,Abfahrt,5,5,,,,,,
0.85,6.100,Hill,5,5,,,,,,
0.46,-7.800,Abfahrt,5,5,,,,,,
1.15,-1.600,Flat,5,5,,,,,,
0.62,3.600,Hill,5,5,,,,,,
0.58,-2.900,Flat,5,5,,,,,,
0.53,4.000,Hill,5,5,,,,,,
1.92,-3.700,Abfahrt,5,5,,,,,,
0.77,-6.800,Abfahrt,5,5,,,,,,
0.83,0.500,Flat,5,5,,,,,,
1.03,7.100,Hill,5,5,,,,,,
0.81,-1.800,Flat,5,5,,,,,,
0.44,5.500,Hill,5,5,,,,,,
0.65,-3.100,Abfahrt,5,5,,,,,,
0.49,-10.300,Abfahrt,5,5,,,,,,
0.45,2.800,Hill,5,5,,,,,,
0.77,10.900,Hill,5,5,,,,,,
0.46,-3.000,Hill,5,5,,,,,,
0.41,6.500,Hill,5,5,,,,,,
0.39,2.300,Hill,5,5,,,,,,
0.41,-3.400,Hill,5,5,,,,,,
1.48,2.200,Hill,5,5,,,,,,
