length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
2.40,5.700,Mountain,5,5,start|climb_start,Start|Torquay,null|3,,,
2.01,3.600,Mountain,5,5,,,,,,
1.20,6.300,Mountain,5,5,,,,,,
0.86,1.400,Mountain,5,5,,,,,,
1.37,4.500,Mountain,5,5,,,,,,
2.26,2.800,Mountain,5,5,,,,climb_top,Torquay,4
0.86,-3.300,Abfahrt,5,5,,,,,,
0.27,-15.900,Abfahrt,5,5,,,,,,
1.35,1.800,Flat,5,5,,,,,,
0.70,-1.100,Flat,5,5,,,,,,
0.69,1.400,Flat,5,5,,,,,,
0.73,-2.500,Flat,5,5,,,,,,
1.32,0.700,Flat,5,5,,,,,,
0.42,-5.000,Flat,5,5,,,,,,
0.61,-1.300,Flat,5,5,,,,,,
1.00,-7.400,Abfahrt,5,5,,,,,,
0.52,-3.700,Abfahrt,5,5,,,,,,
1.79,-1.100,Flat,5,5,,,,,,
1.11,-4.800,Abfahrt,5,5,,,,,,
0.29,-8.600,Abfahrt,5,5,,,,,,
2.32,-0.700,Flat,5,5,,,,,,
0.29,-4.800,Flat,5,5,,,,,,
3.43,1.000,Flat,5,5,,,,,,
2.39,-0.600,Flat,5,5,,,,,,
0.59,3.900,Flat,5,5,,,,,,
4.78,-1.000,Flat,5,5,,,,,,
4.16,0.300,Flat,5,5,,,,,,
1.95,1.700,Flat,5,5,,,,,,
0.74,-5.000,Flat,5,5,,,,,,
0.40,-0.200,Flat,5,5,,,,,,
1.13,2.400,Hill,5,5,,,,,,
0.91,5.600,Hill,5,5,,,,,,
2.55,-2.400,Abfahrt,5,5,,,,,,
1.12,3.100,Flat,5,5,,,,,,
2.02,-1.700,Flat,5,5,,,,,,
0.79,3.300,Flat,5,5,,,,,,
1.04,0.100,Flat,5,5,,,,,,
1.80,-1.000,Flat,5,5,,,,,,
0.80,-2.600,Flat,5,5,,,,,,
3.16,-0.100,Flat,5,5,,,,,,
0.61,3.300,Flat,5,5,,,,,,
2.92,0.200,Flat,5,5,,,,,,
0.68,-4.400,Flat,5,5,,,,,,
1.12,5.200,Hill,5,5,,,,,,
1.29,2.500,Hill,5,5,,,,,,
3.23,-1.200,Flat,5,5,,,,,,
2.66,0.000,Flat,5,5,,,,,,
0.60,-2.000,Flat,5,5,,,,,,
2.95,0.300,Flat,5,5,,,,,,
0.86,-2.600,Abfahrt,5,5,,,,,,
0.52,-7.500,Abfahrt,5,5,,,,,,
0.72,2.200,Flat,5,5,,,,,,
1.33,-2.200,Abfahrt,5,5,,,,,,
1.31,2.500,Flat,5,5,,,,,,
1.50,-0.400,Flat,5,5,,,,,,
0.25,-6.400,Flat,5,5,,,,,,
0.94,2.100,Flat,5,5,,,,,,
2.60,0.500,Flat,5,5,,,,,,
1.30,-0.600,Flat,5,5,,,,,,
0.69,-4.600,Flat,5,5,,,,,,
1.59,1.400,Flat,5,5,,,,,,
4.33,0.300,Flat,5,5,,,,,,
1.06,0.000,Flat,5,5,,,,,,
1.07,2.900,Flat,5,5,,,,,,
0.49,-0.400,Flat,5,5,,,,,,
0.74,-4.500,Flat,5,5,,,,,,
0.38,-0.300,Flat,5,5,,,,,,
0.62,4.800,Flat,5,5,,,,,,
0.50,8.400,Flat,5,5,,,,,,
1.89,0.400,Flat,5,5,,,,,,
1.23,-0.500,Flat,5,5,,,,,,
4.09,-2.300,Abfahrt,5,5,,,,,,
2.22,-0.900,Flat,5,5,,,,,,
2.74,0.700,Flat,5,5,,,,,,
0.25,5.200,Flat,5,5,,,,,,
2.20,0.000,Flat,5,5,,,,,,
6.19,-0.400,Flat,5,5,,,,,,
11.52,-0.100,Flat,5,5,,,,,,
3.22,-0.400,Flat,5,5,,,,,,
1.26,-2.100,Abfahrt,5,5,,,,,,
2.65,0.800,Flat,5,5,,,,,,
1.77,-0.300,Flat,5,5,,,,,,
0.84,-3.000,Flat,5,5,,,,,,
1.35,-0.200,Flat,5,5,,,,,,
2.32,0.600,Flat,5,5,,,,,,
2.85,1.500,Flat,5,5,,,,,,
1.07,-2.000,Flat,5,5,,,,,,
1.06,-6.800,Abfahrt,5,5,,,,,,
0.43,4.400,Flat,5,5,,,,,,
0.77,0.600,Flat,5,5,,,,,,
0.21,8.600,Flat,5,5,,,,,,
0.57,1.200,Flat,5,5,,,,,,
1.30,-1.100,Flat,5,5,,,,,,
1.28,2.000,Flat,5,5,,,,,,
2.03,-3.600,Abfahrt,5,5,,,,,,
0.84,2.700,Flat,5,5,,,,,,
1.69,-1.000,Flat,5,5,,,,finish_flat,Ziel,null
