length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.00,0.000,Flat,5,5,start,Start,null,,,
4.32,3.800,Hill,5,5,climb_start,Montemagno,null,climb_top,Montemagno,4
1.57,-1.600,Flat,5,5,,,,,,
1.56,2.200,Flat,5,5,,,,,,
1.81,-3.900,Abfahrt,5,5,,,,,,
0.43,-8.100,Abfahrt,5,5,,,,,,
1.06,-3.700,Abfahrt,5,5,,,,,,
0.82,-7.200,Abfahrt,5,5,,,,,,
78.09,0.000,Flat,5,5,,,,,,
0.73,4.000,Hill,5,5,,,,sprint_intermediate,Sprint 1,Sprint
35.85,0.000,Flat,5,5,,,,,,
0.42,7.200,Hill,5,5,climb_start,Castelnuovo Val di Cenci,null,,,
1.29,1.700,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.72,6.100,Hill,5,5,,,,,,
0.40,9.200,Hill,5,5,,,,,,
3.97,1.800,Flat,5,5,,,,,,
0.40,8.100,Hill,5,5,,,,,,
1.13,4.700,Hill,5,5,,,,,,
1.19,-3.800,Abfahrt,5,5,,,,,,
0.95,1.000,Flat,5,5,,,,,,
1.90,-2.700,Abfahrt,5,5,,,,,,
3.81,4.000,Medium_Mountain,5,5,,,,,,
0.43,-0.500,Medium_Mountain,5,5,,,,,,
0.64,-5.600,Medium_Mountain,5,5,,,,,,
1.85,5.100,Medium_Mountain,5,5,,,,,,
1.39,-1.900,Medium_Mountain,5,5,,,,,,
2.05,7.400,Medium_Mountain,5,5,,,,climb_top,Castelnuovo Val di Cenc,2
0.85,-3.600,Abfahrt,5,5,,,,,,
1.74,-6.400,Abfahrt,5,5,,,,,,
0.37,-3.000,Abfahrt,5,5,,,,,,
1.23,-9.400,Abfahrt,5,5,,,,,,
4.11,1.300,Flat,5,5,,,,,,
1.33,-1.600,Flat,5,5,,,,,,
1.53,1.500,Flat,5,5,,,,,,
0.82,-2.100,Flat,5,5,,,,,,
1.39,0.800,Flat,5,5,,,,,,
1.16,-5.600,Abfahrt,5,5,,,,,,
1.13,-1.300,Flat,5,5,,,,,,
1.37,-6.100,Abfahrt,5,5,,,,,,
1.29,-1.800,Flat,5,5,,,,,,
0.82,-4.700,Abfahrt,5,5,,,,,,
3.99,5.400,Hill,5,5,climb_start,Ponte Fiume Cecina,null,,,
1.37,-0.200,Flat,5,5,,,,,,
0.50,-7.000,Abfahrt,5,5,,,,,,
0.77,0.900,Hill,5,5,,,,,,
0.77,7.200,Hill,5,5,,,,climb_top,Ponte Fiume Cecina,3
0.75,-1.300,Flat,5,5,,,,,,
0.70,-6.900,Abfahrt,5,5,,,,,,
1.16,-1.300,Flat,5,5,,,,,,
0.94,-6.400,Abfahrt,5,5,,,,,,
0.78,-2.300,Abfahrt,5,5,,,,,,
0.95,6.000,Hill,5,5,climb_start,Casole d'Elsa,null,,,
0.72,2.400,Hill,5,5,,,,,,
0.52,8.300,Hill,5,5,,,,climb_top,Casole d'Elsa,4
0.79,-1.400,Flat,5,5,,,,,,
1.37,-7.100,Abfahrt,5,5,,,,,,
12.02,-0.400,Flat,5,5,,,,,,
1.97,-5.200,Abfahrt,5,5,,,,,,
1.35,0.500,Flat,5,5,,,,,,
1.06,8.200,Hill,5,5,climb_start,San Gimignano,null,,,
0.94,2.600,Hill,5,5,,,,,,
0.58,-5.000,Abfahrt,5,5,,,,,,
0.51,0.500,Flat,5,5,,,,,,
0.57,4.200,Hill,5,5,,,,,,
1.94,1.200,Flat,5,5,,,,,,
1.24,7.000,Hill,5,5,,,,finish_hill,San Gimignano,3
