length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
73.51,0.000,Flat,5,5,start,Start,null,,,
0.99,2.800,Hill,5,5,,,,,,
38.95,0.000,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.51,-3.100,Abfahrt,5,5,,,,,,
26.49,-0.100,Flat,5,5,,,,,,
0.61,4.400,Cobble_Hill,5,5,,,,,,
0.49,8.800,Cobble_Hill,5,5,,,,,,
1.99,2.300,Cobble,5,5,,,,,,
0.93,-2.000,Flat,5,5,,,,,,
0.90,0.900,Flat,5,5,,,,,,
0.91,4.800,Cobble_Hill,5,5,,,,,,
0.45,-8.400,Abfahrt,5,5,,,,,,
10.66,-0.900,Flat,5,5,,,,,,
0.55,8.000,Cobble_Hill,5,5,,,,,,
0.40,4.000,Cobble_Hill,5,5,,,,,,
2.78,-0.300,Flat,5,5,,,,,,
0.49,-7.100,Abfahrt,5,5,,,,,,
0.38,-2.100,Flat,5,5,,,,,,
0.74,5.500,Cobble_Hill,5,5,,,,,,
3.30,-1.400,Flat,5,5,,,,,,
1.49,2.900,Cobble_Hill,5,5,,,,,,
0.37,-2.700,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.74,3.000,Cobble_Hill,5,5,,,,,,
5.90,-1.000,Flat,5,5,,,,,,
0.59,5.900,Cobble_Hill,5,5,,,,,,
1.41,0.700,Flat,5,5,,,,,,
0.58,-4.100,Abfahrt,5,5,,,,,,
2.50,2.400,Flat,5,5,,,,,,
2.31,-3.100,Abfahrt,5,5,,,,,,
0.46,1.700,Flat,5,5,,,,,,
0.72,7.800,Cobble_Hill,5,5,,,,,,
3.62,-0.400,Flat,5,5,,,,,,
0.52,-4.000,Abfahrt,5,5,,,,,,
3.65,-0.300,Flat,5,5,,,,,,
0.50,7.600,Cobble_Hill,5,5,,,,,,
1.96,1.000,Flat,5,5,,,,,,
1.41,-2.500,Abfahrt,5,5,,,,,,
0.77,3.800,Cobble_Hill,5,5,,,,,,
1.91,-0.300,Flat,5,5,,,,,,
1.45,-4.300,Abfahrt,5,5,,,,,,
1.68,1.000,Flat,5,5,,,,,,
0.50,-2.800,Flat,5,5,,,,,,
1.62,1.700,Flat,5,5,,,,,,
0.43,-2.300,Flat,5,5,,,,,,
0.64,7.000,Cobble_Hill,5,5,,,,,,
0.66,3.000,Cobble_Hill,5,5,,,,,,
5.06,-0.500,Flat,5,5,,,,,,
0.79,-6.200,Abfahrt,5,5,,,,,,
0.42,-0.200,Flat,5,5,,,,,,
0.85,2.600,Cobble_Hill,5,5,,,,,,
0.57,9.300,Cobble_Hill,5,5,,,,,,
1.10,0.000,Flat,5,5,,,,,,
0.43,9.800,Cobble_Hill,5,5,,,,,,
1.01,-4.100,Abfahrt,5,5,,,,,,
1.09,-0.700,Flat,5,5,,,,,,
0.70,2.700,Cobble_Hill,5,5,,,,,,
1.90,-3.300,Abfahrt,5,5,,,,,,
0.60,-7.700,Abfahrt,5,5,,,,,,
2.50,-0.300,Flat,5,5,,,,,,
0.53,4.900,Cobble_Hill,5,5,,,,,,
0.49,8.800,Cobble_Hill,5,5,,,,,,
1.98,1.600,Flat,5,5,,,,,,
1.21,-2.700,Abfahrt,5,5,,,,,,
0.73,-6.700,Abfahrt,5,5,,,,,,
0.67,6.400,Cobble_Hill,5,5,,,,,,
0.90,-5.800,Abfahrt,5,5,,,,,,
4.68,-0.200,Flat,5,5,,,,,,
0.69,8.700,Cobble_Hill,5,5,,,,,,
1.07,0.500,Flat,5,5,,,,,,
0.85,-6.200,Abfahrt,5,5,,,,,,
0.54,-1.500,Flat,5,5,,,,,,
0.65,1.200,Flat,5,5,,,,,,
0.49,5.500,Cobble_Hill,5,5,,,,,,
4.23,-0.400,Flat,5,5,,,,,,
0.38,9.500,Cobble_Hill,5,5,,,,,,
5.64,0.700,Flat,5,5,,,,,,
0.77,-2.300,Abfahrt,5,5,,,,,,
0.79,-6.200,Abfahrt,5,5,,,,,,
0.42,-0.200,Flat,5,5,,,,,,
0.69,2.800,Cobble_Hill,5,5,,,,,,
0.61,8.900,Cobble_Hill,5,5,,,,,,
1.16,0.200,Flat,5,5,,,,,,
0.43,9.800,Cobble_Hill,5,5,,,,,,
1.01,-4.100,Abfahrt,5,5,,,,,,
1.09,-0.700,Flat,5,5,,,,,,
0.70,2.700,Cobble_Hill,5,5,,,,,,
1.90,-3.300,Abfahrt,5,5,,,,,,
0.60,-7.500,Abfahrt,5,5,,,,,,
2.50,-0.300,Flat,5,5,,,,,,
0.53,4.900,Cobble_Hill,5,5,,,,,,
0.49,8.800,Cobble_Hill,5,5,,,,,,
0.44,0.500,Flat,5,5,,,,,,
0.42,4.500,Cobble_Hill,5,5,,,,,,
0.54,-0.700,Flat,5,5,,,,,,
0.67,2.100,Cobble_Hill,5,5,,,,,,
1.14,-3.000,Abfahrt,5,5,,,,,,
0.71,-6.800,Abfahrt,5,5,,,,,,
0.67,6.400,Cobble_Hill,5,5,,,,,,
0.76,-6.100,Abfahrt,5,5,,,,,,
0.40,-3.000,Abfahrt,5,5,,,,,,
11.93,0.000,Flat,5,5,,,,finish_flat,Ziel,null
