length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
1.03,0.000,Flat,5,5,start,Start,null,,,
0.50,3.200,Hill,5,5,,,,,,
0.50,-6.000,Abfahrt,5,5,,,,,,
9.54,0.300,Flat,5,5,,,,,,
0.72,-3.900,Abfahrt,5,5,,,,,,
0.62,-0.200,Flat,5,5,,,,,,
2.61,4.100,Hill,5,5,climb_start,Anstieg 0,null,climb_top,Anstieg 0,4
2.45,0.900,Flat,5,5,,,,,,
1.18,-5.400,Abfahrt,5,5,,,,,,
1.39,3.100,Hill,5,5,,,,,,
0.89,-2.400,Abfahrt,5,5,,,,,,
0.88,-5.800,Abfahrt,5,5,,,,,,
5.65,0.900,Flat,5,5,,,,,,
0.58,-2.400,Flat,5,5,,,,,,
2.77,2.500,Hill,5,5,,,,,,
1.48,-3.700,Abfahrt,5,5,,,,,,
1.25,-0.300,Flat,5,5,,,,,,
0.69,6.100,Hill,5,5,,,,,,
0.58,0.500,Flat,5,5,,,,,,
0.43,5.500,Hill,5,5,,,,,,
1.44,-2.000,Flat,5,5,,,,,,
0.85,3.100,Hill,5,5,,,,,,
6.13,-1.300,Flat,5,5,,,,,,
1.29,-4.400,Abfahrt,5,5,,,,,,
0.71,0.600,Flat,5,5,,,,,,
0.41,-4.500,Abfahrt,5,5,,,,,,
5.75,-0.300,Flat,5,5,,,,,,
1.20,4.500,Hill,5,5,,,,,,
8.38,-0.100,Flat,5,5,,,,,,
0.93,-3.800,Abfahrt,5,5,,,,,,
7.67,0.300,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
0.76,-4.100,Abfahrt,5,5,,,,,,
11.77,0.700,Flat,5,5,,,,,,
4.89,4.500,Hill,5,5,climb_start,Anstieg 1,null,,,
0.53,1.100,Flat,5,5,,,,,,
0.78,3.800,Hill,5,5,,,,climb_top,Anstieg 1,2
0.69,-2.100,Flat,5,5,,,,,,
0.41,1.800,Flat,5,5,,,,,,
0.42,-4.500,Abfahrt,5,5,,,,,,
1.38,-1.200,Flat,5,5,,,,,,
1.27,1.500,Flat,5,5,,,,,,
0.54,-3.700,Abfahrt,5,5,,,,,,
4.03,4.500,Hill,5,5,climb_start,Anstieg 2,null,climb_top,Anstieg 2,3
5.63,-1.500,Flat,5,5,,,,,,
0.51,-5.300,Abfahrt,5,5,,,,,,
0.49,3.600,Hill,5,5,,,,,,
0.67,-0.200,Flat,5,5,,,,,,
1.28,-5.000,Abfahrt,5,5,,,,,,
0.78,3.700,Hill,5,5,,,,,,
0.55,-2.000,Flat,5,5,,,,,,
0.93,0.700,Flat,5,5,,,,,,
1.76,-2.100,Abfahrt,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.44,4.100,Hill,5,5,,,,,,
0.37,-8.200,Abfahrt,5,5,,,,,,
0.53,0.200,Flat,5,5,,,,,,
2.62,-8.300,Abfahrt,5,5,,,,,,
2.15,-2.900,Abfahrt,5,5,,,,,,
0.50,5.300,Hill,5,5,,,,,,
0.41,-7.700,Abfahrt,5,5,,,,,,
8.26,0.700,Flat,5,5,,,,,,
1.16,5.400,Hill,5,5,,,,,,
1.48,2.300,Flat,5,5,,,,,,
0.75,-1.400,Flat,5,5,,,,,,
2.13,3.300,Hill,5,5,,,,,,
3.22,-4.800,Abfahrt,5,5,,,,,,
0.72,-1.000,Flat,5,5,,,,,,
0.60,4.000,Hill,5,5,,,,,,
11.08,-0.700,Flat,5,5,,,,,,
0.57,4.400,Hill,5,5,,,,,,
0.93,-4.100,Abfahrt,5,5,,,,,,
1.78,0.000,Flat,5,5,,,,,,
0.64,4.900,Hill,5,5,,,,,,
0.84,1.500,Flat,5,5,,,,,,
0.52,-2.500,Flat,5,5,,,,,,
3.24,0.900,Flat,5,5,,,,,,
0.53,4.100,Hill,5,5,,,,,,
2.05,-0.900,Flat,5,5,,,,,,
0.59,-4.900,Abfahrt,5,5,,,,,,
3.21,-0.800,Flat,5,5,,,,,,
1.80,2.200,Flat,5,5,,,,,,
0.60,-3.800,Abfahrt,5,5,,,,,,
0.66,3.700,Hill,5,5,,,,,,
0.69,-4.300,Abfahrt,5,5,,,,,,
0.74,0.000,Flat,5,5,,,,,,
1.49,3.200,Hill,5,5,,,,,,
9.85,-0.300,Flat,5,5,,,,,,
0.82,-4.100,Abfahrt,5,5,,,,,,
0.69,0.900,Flat,5,5,,,,,,
0.57,4.400,Hill,5,5,,,,,,
0.93,-4.100,Abfahrt,5,5,,,,,,
1.23,-0.100,Flat,5,5,,,,finish_flat,Ziel,null
