length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
13.22,0.100,Flat,5,5,start,Start,null,,,
23.56,-0.100,Flat,5,5,,,,,,
0.62,1.800,Flat,5,5,,,,,,
0.40,5.800,Flat,5,5,,,,,,
1.54,0.200,Flat,5,5,,,,,,
2.82,-1.500,Flat,5,5,,,,,,
2.90,1.000,Flat,5,5,,,,,,
2.04,-0.500,Flat,5,5,,,,,,
1.62,1.300,Flat,5,5,,,,,,
0.60,-2.500,Flat,5,5,,,,,,
1.41,0.100,Flat,5,5,,,,,,
0.97,-2.400,Flat,5,5,,,,,,
1.76,-0.300,Flat,5,5,,,,,,
1.80,0.100,Flat,5,5,,,,,,
3.29,0.900,Flat,5,5,,,,,,
1.52,-0.700,Flat,5,5,,,,,,
0.62,-2.700,Flat,5,5,,,,,,
7.36,-0.100,Flat,5,5,,,,,,
0.85,4.200,Flat,5,5,,,,,,
2.01,1.200,Flat,5,5,,,,,,
0.52,-1.500,Flat,5,5,,,,,,
0.40,-6.200,Flat,5,5,,,,,,
2.47,-0.800,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
11.85,-0.100,Flat,5,5,,,,,,
2.07,0.400,Flat,5,5,,,,,,
0.23,7.400,Flat,5,5,,,,,,
0.83,0.800,Flat,5,5,,,,,,
0.63,4.000,Flat,5,5,,,,,,
2.03,-1.900,Flat,5,5,,,,,,
1.98,0.400,Flat,5,5,,,,,,
5.09,1.100,Flat,5,5,,,,,,
2.43,0.300,Flat,5,5,,,,,,
5.57,2.400,Hill,5,5,,,,,,
1.55,0.800,Flat,5,5,,,,,,
2.26,4.200,Hill,5,5,,,,,,
0.70,0.700,Flat,5,5,,,,,,
0.72,-2.200,Flat,5,5,,,,,,
0.27,8.100,Medium_Mountain,5,5,climb_start,Alto del Tibi,,,,
0.39,1.500,Medium_Mountain,5,5,,,,,,
0.84,7.600,Medium_Mountain,5,5,,,,,,
0.71,2.100,Medium_Mountain,5,5,,,,,,
0.28,8.200,Medium_Mountain,5,5,,,,,,
0.46,0.900,Medium_Mountain,5,5,,,,,,
0.86,7.600,Medium_Mountain,5,5,,,,,,
0.87,3.000,Medium_Mountain,5,5,,,,,,
1.70,8.500,Medium_Mountain,5,5,,,,,,
0.62,2.600,Medium_Mountain,5,5,,,,climb_top,Alto del Tibi,2
0.27,-5.200,Abfahrt,5,5,,,,,,
0.87,4.000,Medium_Mountain,5,5,,,,,,
1.32,-6.300,Abfahrt,5,5,,,,,,
0.25,-1.600,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
0.58,-11.400,Abfahrt,5,5,,,,,,
0.85,-6.800,Abfahrt,5,5,,,,,,
0.39,6.200,Flat,5,5,,,,,,
0.42,-0.200,Flat,5,5,,,,,,
1.04,-8.700,Abfahrt,5,5,,,,,,
0.21,1.400,Hill,5,5,climb_start,Collado de la Horna,,,,
1.46,7.200,Hill,5,5,,,,,,
0.56,4.100,Hill,5,5,,,,,,
1.17,1.200,Hill,5,5,,,,,,
0.39,6.400,Hill,5,5,,,,,,
1.30,2.000,Hill,5,5,,,,,,
0.45,5.100,Hill,5,5,,,,climb_top,Collado de la Horna,4
2.02,-1.800,Flat,5,5,,,,,,
1.71,0.600,Flat,5,5,,,,,,
2.16,-4.000,Abfahrt,5,5,,,,,,
0.84,-1.100,Flat,5,5,,,,,,
1.12,-5.700,Abfahrt,5,5,,,,,,
2.05,-4.200,Abfahrt,5,5,,,,,,
0.78,-0.800,Flat,5,5,,,,,,
1.80,-4.400,Abfahrt,5,5,,,,,,
2.45,-1.800,Flat,5,5,,,,,,
0.45,-4.000,Abfahrt,5,5,,,,,,
0.61,-5.400,Abfahrt,5,5,,,,,,
1.75,-1.300,Flat,5,5,,,,,,
0.29,-5.500,Flat,5,5,,,,,,
3.97,-1.000,Flat,5,5,,,,,,
2.86,-1.600,Flat,5,5,,,,,,
2.18,1.000,Flat,5,5,,,,finish_hill,Ziel,null
